,TEAM,LOCATION,OPPONENT,DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
14686,IND,Home,LAL,02/25/2014,W,240,118,47,101,46.5,5,16,31.3,19,25,76.0,21,41,62,25,11,10,17,21,20
14687,LAL,Away,IND,02/25/2014,L,240,98,39,90,43.3,8,23,34.8,12,20,60.0,10,32,42,22,11,12,17,23,-20
14688,TOR,Away,CLE,02/25/2014,W,240,99,35,79,44.3,10,32,31.3,19,24,79.2,10,29,39,27,5,6,15,21,6
14689,CLE,Home,TOR,02/25/2014,L,240,93,34,84,40.5,5,17,29.4,20,24,83.3,14,29,43,24,6,1,12,21,-6
14690,PHX,Home,MIN,02/25/2014,L,240,101,42,95,44.2,3,15,20.0,14,18,77.8,18,32,50,19,10,9,19,30,-9
14691,MIN,Away,PHX,02/25/2014,W,240,110,42,87,48.3,5,18,27.8,21,32,65.6,10,28,38,24,11,5,15,21,9
14692,LAC,Away,NOP,02/24/2014,W,240,123,43,83,51.8,16,28,57.1,21,26,80.8,10,30,40,34,4,5,9,28,13
14693,NOP,Home,LAC,02/24/2014,L,240,110,37,87,42.5,7,18,38.9,29,35,82.9,20,30,50,24,2,7,9,23,-13
14694,UTA,Home,BOS,02/24/2014,W,240,110,44,80,55.0,6,17,35.3,16,21,76.2,11,27,38,25,8,8,13,21,12
14695,BOS,Away,UTA,02/24/2014,L,240,98,37,84,44.0,4,15,26.7,20,21,95.2,13,18,31,16,6,2,16,18,-12
14696,DET,Home,GSW,02/24/2014,L,240,96,40,99,40.4,4,13,30.8,12,18,66.7,16,29,45,26,7,6,9,23,-8
14697,GSW,Away,DET,02/24/2014,W,240,104,38,82,46.3,13,31,41.9,15,22,68.2,11,33,44,27,3,7,13,19,8
14698,NYK,Home,DAL,02/24/2014,L,240,108,40,76,52.6,14,33,42.4,14,16,87.5,11,30,41,23,3,3,21,24,-2
14699,DAL,Away,NYK,02/24/2014,W,240,110,41,86,47.7,15,36,41.7,13,16,81.3,11,23,34,27,5,3,10,19,2
14700,PHI,Home,MIL,02/24/2014,L,240,110,43,88,48.9,8,24,33.3,16,23,69.6,11,17,28,28,16,5,18,22,-20
14701,MIL,Away,PHI,02/24/2014,W,240,130,48,84,57.1,12,20,60.0,22,29,75.9,20,27,47,32,7,6,23,21,20
14702,OKC,Home,LAC,02/23/2014,L,240,117,43,93,46.2,12,29,41.4,19,24,79.2,10,27,37,26,9,3,14,30,-8
14703,LAC,Away,OKC,02/23/2014,W,240,125,42,81,51.9,13,30,43.3,28,39,71.8,10,34,44,26,8,2,17,23,8
14704,TOR,Home,ORL,02/23/2014,W,240,105,34,65,52.3,9,17,52.9,28,36,77.8,9,41,50,23,4,4,24,22,15
14705,ORL,Away,TOR,02/23/2014,L,240,90,36,87,41.4,5,14,35.7,13,17,76.5,9,23,32,20,14,2,9,25,-15
14706,SAC,Away,DEN,02/23/2014,W,240,109,37,78,47.4,5,13,38.5,30,36,83.3,10,35,45,18,12,10,21,21,14
14707,DEN,Home,SAC,02/23/2014,L,240,95,33,88,37.5,15,32,46.9,14,21,66.7,10,30,40,23,11,7,19,28,-14
14708,MIA,Home,CHI,02/23/2014,W,240,93,37,88,42.0,9,23,39.1,10,14,71.4,15,26,41,22,8,7,8,19,14
14709,CHI,Away,MIA,02/23/2014,L,240,79,29,81,35.8,6,21,28.6,15,17,88.2,15,36,51,18,2,4,19,15,-14
14710,POR,Home,MIN,02/23/2014,W,240,108,40,83,48.2,13,28,46.4,15,16,93.8,12,34,46,19,4,7,12,23,11
14711,MIN,Away,POR,02/23/2014,L,240,97,37,94,39.4,9,28,32.1,14,20,70.0,21,27,48,18,5,2,14,21,-11
14712,WAS,Away,CLE,02/23/2014,W,240,96,41,96,42.7,8,20,40.0,6,10,60.0,15,33,48,26,7,3,5,19,13
14713,CLE,Home,WAS,02/23/2014,L,240,83,30,78,38.5,2,18,11.1,21,26,80.8,13,38,51,15,2,2,13,12,-13
14714,PHX,Home,HOU,02/23/2014,L,240,112,42,86,48.8,11,26,42.3,17,24,70.8,9,25,34,16,14,2,16,18,-3
14715,HOU,Away,PHX,02/23/2014,W,240,115,41,78,52.6,5,16,31.3,28,32,87.5,10,33,43,25,10,3,22,19,3
14716,BKN,Away,LAL,02/23/2014,W,240,108,36,76,47.4,12,25,48.0,24,32,75.0,12,29,41,28,13,2,19,20,6
14717,LAL,Home,BKN,02/23/2014,L,240,102,39,76,51.3,7,17,41.2,17,26,65.4,10,27,37,17,11,5,17,24,-6
14718,CHA,Home,MEM,02/22/2014,W,240,92,30,82,36.6,8,20,40.0,24,27,88.9,9,33,42,16,4,4,11,18,3
14719,MEM,Away,CHA,02/22/2014,L,240,89,34,79,43.0,4,15,26.7,17,22,77.3,7,35,42,17,6,5,15,24,-3
14720,WAS,Home,NOP,02/22/2014,W,240,94,36,74,48.6,3,14,21.4,19,26,73.1,9,33,42,23,6,7,17,15,1
14721,NOP,Away,WAS,02/22/2014,L,240,93,35,81,43.2,6,13,46.2,17,21,81.0,8,30,38,20,9,3,15,22,-1
14722,SAC,Home,BOS,02/22/2014,W,240,105,38,73,52.1,5,9,55.6,24,28,85.7,3,35,38,18,6,3,18,27,7
14723,BOS,Away,SAC,02/22/2014,L,240,98,34,87,39.1,6,21,28.6,24,36,66.7,15,27,42,17,8,3,14,19,-7
14724,NYK,Away,ATL,02/22/2014,L,240,98,39,89,43.8,10,28,35.7,10,16,62.5,8,33,41,22,6,4,10,24,-9
14725,ATL,Home,NYK,02/22/2014,W,240,107,32,74,43.2,16,31,51.6,27,33,81.8,7,33,40,19,2,4,10,18,9
14726,IND,Away,MIL,02/22/2014,W,240,110,36,80,45.0,9,18,50.0,29,40,72.5,10,30,40,19,6,6,9,23,10
14727,MIL,Home,IND,02/22/2014,L,240,100,35,83,42.2,9,27,33.3,21,32,65.6,15,37,52,20,4,3,14,32,-10
14728,UTA,Home,MIN,02/22/2014,L,240,104,37,79,46.8,3,19,15.8,27,36,75.0,5,29,34,16,8,7,8,25,-17
14729,MIN,Away,UTA,02/22/2014,W,240,121,43,84,51.2,11,22,50.0,24,33,72.7,12,37,49,30,4,3,11,24,17
14730,DET,Home,DAL,02/22/2014,L,240,102,40,82,48.8,2,11,18.2,20,30,66.7,9,30,39,21,7,6,12,19,-11
14731,DAL,Away,DET,02/22/2014,W,240,113,44,90,48.9,8,23,34.8,17,22,77.3,16,34,50,31,8,6,14,19,11
14732,BKN,Away,GSW,02/22/2014,L,240,86,32,78,41.0,2,21,9.5,20,24,83.3,7,32,39,11,5,2,16,14,-7
14733,GSW,Home,BKN,02/22/2014,W,240,93,37,85,43.5,6,20,30.0,13,17,76.5,12,38,50,26,12,4,10,22,7
14734,CHA,Home,NOP,02/21/2014,W,240,90,31,80,38.8,3,15,20.0,25,36,69.4,14,33,47,17,5,9,11,16,3
14735,NOP,Away,CHA,02/21/2014,L,240,87,35,83,42.2,9,23,39.1,8,11,72.7,6,32,38,20,2,7,12,27,-3
14736,MEM,Home,LAC,02/21/2014,W,240,102,42,87,48.3,5,15,33.3,13,15,86.7,6,36,42,27,7,9,12,30,6
14737,LAC,Away,MEM,02/21/2014,L,240,96,31,80,38.8,7,24,29.2,27,43,62.8,13,34,47,23,6,4,12,15,-6
14738,TOR,Home,CLE,02/21/2014,W,240,98,40,93,43.0,7,21,33.3,11,13,84.6,12,30,42,23,8,4,9,23,7
14739,CLE,Away,TOR,02/21/2014,L,240,91,32,82,39.0,6,20,30.0,21,29,72.4,17,30,47,21,5,8,15,18,-7
14740,UTA,Away,POR,02/21/2014,L,240,94,37,82,45.1,6,13,46.2,14,18,77.8,9,31,40,20,8,5,16,18,-8
14741,POR,Home,UTA,02/21/2014,W,240,102,39,91,42.9,7,20,35.0,17,17,100,12,33,45,16,5,9,12,19,8
14742,DET,Home,ATL,02/21/2014,W,240,115,47,87,54.0,8,20,40.0,13,29,44.8,16,30,46,32,6,5,11,20,8
14743,ATL,Away,DET,02/21/2014,L,240,107,40,88,45.5,13,31,41.9,14,20,70.0,12,29,41,25,7,4,10,22,-8
14744,ORL,Home,NYK,02/21/2014,W,290,129,49,99,49.5,9,16,56.3,22,26,84.6,7,42,49,29,7,3,11,19,8
14745,NYK,Away,ORL,02/21/2014,L,290,121,45,95,47.4,15,34,44.1,16,23,69.6,7,37,44,24,6,4,13,21,-8
14746,SAS,Away,PHX,02/21/2014,L,240,85,29,83,34.9,2,21,9.5,25,27,92.6,15,32,47,12,5,0,18,17,-21
14747,PHX,Home,SAS,02/21/2014,W,240,106,42,82,51.2,5,25,20.0,17,25,68.0,9,34,43,19,11,6,15,20,21
14748,DEN,Away,CHI,02/21/2014,L,240,89,35,87,40.2,7,15,46.7,12,22,54.5,12,28,40,12,5,8,14,23,-28
14749,CHI,Home,DEN,02/21/2014,W,240,117,42,84,50.0,10,17,58.8,23,27,85.2,11,39,50,28,8,7,14,22,28
14750,LAL,Home,BOS,02/21/2014,W,240,101,40,83,48.2,7,22,31.8,14,19,73.7,9,37,46,23,7,7,18,19,9
14751,BOS,Away,LAL,02/21/2014,L,240,92,38,97,39.2,4,22,18.2,12,17,70.6,16,31,47,23,11,1,15,19,-9
14752,PHI,Home,DAL,02/21/2014,L,240,112,42,94,44.7,5,25,20.0,23,32,71.9,14,20,34,22,15,0,16,21,-12
14753,DAL,Away,PHI,02/21/2014,W,240,124,48,77,62.3,9,23,39.1,19,25,76.0,8,40,48,39,9,7,25,24,12
14754,OKC,Home,MIA,02/20/2014,L,240,81,28,74,37.8,2,20,10.0,23,30,76.7,11,27,38,15,11,2,20,24,-22
14755,MIA,Away,OKC,02/20/2014,W,240,103,41,75,54.7,5,21,23.8,16,21,76.2,8,33,41,24,15,3,19,20,22
14756,MIL,Home,DEN,02/20/2014,L,240,90,35,82,42.7,4,21,19.0,16,20,80.0,12,24,36,15,4,6,14,20,-11
14757,DEN,Away,MIL,02/20/2014,W,240,101,39,76,51.3,8,18,44.4,15,26,57.7,12,29,41,22,6,6,16,20,11
14758,HOU,Away,GSW,02/20/2014,L,265,99,37,101,36.6,9,30,30.0,16,25,64.0,21,39,60,24,4,6,16,25,-3
14759,GSW,Home,HOU,02/20/2014,W,265,102,37,93,39.8,9,27,33.3,19,24,79.2,14,35,49,18,8,9,12,24,3
14760,NYK,Away,NOP,02/19/2014,W,240,98,37,83,44.6,10,21,47.6,14,20,70.0,13,25,38,20,8,6,9,17,7
14761,NOP,Home,NYK,02/19/2014,L,240,91,35,75,46.7,7,21,33.3,14,21,66.7,10,32,42,16,6,9,13,20,-7
14762,CHA,Home,DET,02/19/2014,W,240,116,42,82,51.2,8,20,40.0,24,31,77.4,8,41,49,32,5,11,15,18,18
14763,DET,Away,CHA,02/19/2014,L,240,98,38,90,42.2,8,18,44.4,14,20,70.0,7,24,31,20,8,5,9,20,-18
14764,TOR,Home,CHI,02/19/2014,L,240,92,35,83,42.2,3,17,17.6,19,23,82.6,12,21,33,16,7,4,10,24,-2
14765,CHI,Away,TOR,02/19/2014,W,240,94,36,72,50.0,7,12,58.3,15,20,75.0,8,30,38,25,4,8,18,24,2
14766,IND,Away,MIN,02/19/2014,L,240,91,35,87,40.2,6,22,27.3,15,20,75.0,9,40,49,17,10,3,21,27,-13
14767,MIN,Home,IND,02/19/2014,W,240,104,40,83,48.2,6,20,30.0,18,31,58.1,5,39,44,26,11,5,15,20,13
14768,SAC,Home,GSW,02/19/2014,L,240,92,33,79,41.8,6,17,35.3,20,28,71.4,15,34,49,13,4,3,21,19,-9
14769,GSW,Away,SAC,02/19/2014,W,240,101,39,86,45.3,3,19,15.8,20,24,83.3,6,29,35,26,14,3,7,23,9
14770,WAS,Away,ATL,02/19/2014,W,240,114,46,89,51.7,13,24,54.2,9,11,81.8,9,32,41,30,6,5,10,23,17
14771,ATL,Home,WAS,02/19/2014,L,240,97,33,73,45.2,6,16,37.5,25,30,83.3,5,33,38,20,5,1,17,11,-17
14772,UTA,Home,BKN,02/19/2014,L,240,99,37,82,45.1,9,24,37.5,16,17,94.1,13,33,46,20,2,1,18,16,-6
14773,BKN,Away,UTA,02/19/2014,W,240,105,41,82,50.0,9,23,39.1,14,20,70.0,5,28,33,25,9,4,7,16,6
14774,SAS,Away,POR,02/19/2014,W,240,111,43,88,48.9,9,24,37.5,16,21,76.2,9,31,40,16,9,5,14,20,2
14775,POR,Home,SAS,02/19/2014,L,240,109,42,93,45.2,7,22,31.8,18,25,72.0,13,32,45,18,6,5,14,20,-2
14776,ORL,Away,CLE,02/19/2014,L,240,93,35,89,39.3,6,22,27.3,17,24,70.8,10,35,45,21,7,2,6,25,-8
14777,CLE,Home,ORL,02/19/2014,W,240,101,33,80,41.3,5,20,25.0,30,37,81.1,10,41,51,22,6,5,11,20,8
14778,PHX,Home,BOS,02/19/2014,W,240,100,36,82,43.9,11,28,39.3,17,26,65.4,10,36,46,23,5,6,18,23,6
14779,BOS,Away,PHX,02/19/2014,L,240,94,34,87,39.1,5,17,29.4,21,28,75.0,13,33,46,18,8,6,14,24,-6
14780,LAL,Home,HOU,02/19/2014,L,240,108,41,84,48.8,14,27,51.9,12,15,80.0,3,29,32,29,10,5,20,19,-26
14781,HOU,Away,LAL,02/19/2014,W,240,134,52,104,50.0,18,35,51.4,12,25,48.0,19,37,56,28,15,6,15,15,26
14782,MEM,Home,NYK,02/18/2014,W,240,98,37,75,49.3,6,12,50.0,18,24,75.0,10,28,38,20,5,7,14,22,5
14783,NYK,Away,MEM,02/18/2014,L,240,93,35,85,41.2,6,27,22.2,17,20,85.0,14,25,39,15,8,5,12,23,-5
14784,WAS,Home,TOR,02/18/2014,L,240,93,38,81,46.9,4,15,26.7,13,21,61.9,16,24,40,21,8,3,16,19,-10
14785,TOR,Away,WAS,02/18/2014,W,240,103,42,74,56.8,7,16,43.8,12,15,80.0,2,27,29,25,9,5,15,25,10
14786,PHX,Away,DEN,02/18/2014,W,265,112,35,93,37.6,11,29,37.9,31,39,79.5,15,41,56,21,11,4,16,31,5
14787,DEN,Home,PHX,02/18/2014,L,265,107,38,99,38.4,5,28,17.9,26,37,70.3,17,39,56,17,10,6,13,26,-5
14788,MIA,Away,DAL,02/18/2014,W,240,117,44,77,57.1,10,26,38.5,19,24,79.2,7,21,28,29,11,5,12,23,11
14789,DAL,Home,MIA,02/18/2014,L,240,106,34,85,40.0,9,27,33.3,29,32,90.6,21,29,50,20,6,1,16,16,-11
14790,ORL,Away,MIL,02/18/2014,L,240,100,40,80,50.0,11,25,44.0,9,16,56.3,7,30,37,26,8,8,15,24,-4
14791,MIL,Home,ORL,02/18/2014,W,240,104,35,82,42.7,12,26,46.2,22,30,73.3,12,31,43,25,8,4,11,15,4
14792,IND,Home,ATL,02/18/2014,W,240,108,39,79,49.4,9,23,39.1,21,26,80.8,6,30,36,23,11,7,14,17,10
14793,ATL,Away,IND,02/18/2014,L,240,98,37,77,48.1,12,26,46.2,12,19,63.2,12,32,44,26,9,3,22,22,-10
14794,CHA,Away,DET,02/18/2014,W,240,108,39,75,52.0,7,17,41.2,23,37,62.2,5,38,43,25,4,2,7,18,12
14795,DET,Home,CHA,02/18/2014,L,240,96,39,98,39.8,5,16,31.3,13,23,56.5,16,36,52,20,6,3,7,24,-12
14796,SAS,Away,LAC,02/18/2014,W,240,113,44,88,50.0,9,20,45.0,16,21,76.2,12,36,48,26,5,4,17,28,10
14797,LAC,Home,SAS,02/18/2014,L,240,103,35,81,43.2,6,21,28.6,27,38,71.1,9,29,38,19,11,6,12,20,-10
14798,PHI,Home,CLE,02/18/2014,L,240,85,31,87,35.6,5,22,22.7,18,27,66.7,18,26,44,17,6,2,17,24,-29
14799,CLE,Away,PHI,02/18/2014,W,240,114,40,87,46.0,6,18,33.3,28,33,84.8,21,40,61,28,7,2,21,21,29
14800,BKN,Away,CHI,02/13/2014,L,240,76,26,67,38.8,5,17,29.4,19,28,67.9,4,23,27,12,8,5,15,21,-16
14801,CHI,Home,BKN,02/13/2014,W,240,92,35,70,50.0,4,14,28.6,18,21,85.7,9,36,45,26,7,8,17,23,16
14802,OKC,Away,LAL,02/13/2014,W,240,107,39,88,44.3,8,28,28.6,21,24,87.5,9,35,44,23,14,8,15,23,4
14803,LAL,Home,OKC,02/13/2014,L,240,103,40,83,48.2,10,28,35.7,13,22,59.1,7,35,42,29,6,4,23,18,-4
14804,TOR,Home,ATL,02/12/2014,W,240,104,38,94,40.4,11,33,33.3,17,22,77.3,15,32,47,22,8,3,8,19,21
14805,ATL,Away,TOR,02/12/2014,L,240,83,30,78,38.5,4,20,20.0,19,23,82.6,8,37,45,24,5,0,16,21,-21
14806,MIN,Home,DEN,02/12/2014,W,240,117,45,86,52.3,12,26,46.2,15,23,65.2,6,34,40,31,14,5,10,20,27
14807,DEN,Away,MIN,02/12/2014,L,240,90,33,84,39.3,9,24,37.5,15,20,75.0,13,32,45,19,7,7,21,25,-27
14808,MIL,Home,NOP,02/12/2014,L,240,98,39,80,48.8,6,16,37.5,14,19,73.7,8,26,34,28,3,3,11,16,-4
14809,NOP,Away,MIL,02/12/2014,W,240,102,41,79,51.9,6,13,46.2,14,17,82.4,10,28,38,23,9,5,10,19,4
14810,IND,Home,DAL,02/12/2014,L,240,73,27,84,32.1,7,24,29.2,12,14,85.7,10,37,47,18,5,6,20,22,-8
14811,DAL,Away,IND,02/12/2014,W,240,81,30,84,35.7,5,19,26.3,16,21,76.2,10,37,47,21,7,10,13,19,8
14812,UTA,Home,PHI,02/12/2014,W,240,105,37,87,42.5,3,16,18.8,28,32,87.5,11,34,45,15,10,7,13,19,5
14813,PHI,Away,UTA,02/12/2014,L,240,100,37,80,46.3,8,19,42.1,18,23,78.3,7,33,40,18,9,5,16,24,-5
14814,DET,Home,CLE,02/12/2014,L,240,89,33,83,39.8,4,23,17.4,19,27,70.4,15,38,53,21,5,5,16,24,-4
14815,CLE,Away,DET,02/12/2014,W,240,93,34,84,40.5,5,15,33.3,20,30,66.7,13,32,45,17,9,2,10,21,4
14816,WAS,Away,HOU,02/12/2014,L,240,112,44,97,45.4,16,32,50.0,8,16,50.0,12,23,35,28,14,3,10,32,-1
14817,HOU,Home,WAS,02/12/2014,W,240,113,34,64,53.1,10,22,45.5,35,47,74.5,13,38,51,18,4,7,26,19,1
14818,POR,Away,LAC,02/12/2014,L,240,117,43,84,51.2,13,31,41.9,18,22,81.8,9,23,32,26,2,2,16,27,-5
14819,LAC,Home,POR,02/12/2014,W,240,122,46,79,58.2,4,10,40.0,26,31,83.9,5,28,33,24,13,2,8,20,5
14820,MEM,Away,ORL,02/12/2014,W,240,86,36,77,46.8,2,12,16.7,12,18,66.7,8,28,36,17,7,7,10,14,5
14821,ORL,Home,MEM,02/12/2014,L,240,81,34,83,41.0,4,13,30.8,9,10,90.0,15,27,42,18,3,9,14,13,-5
14822,SAS,Away,BOS,02/12/2014,W,240,104,41,82,50.0,9,19,47.4,13,14,92.9,6,34,40,24,9,2,10,19,12
14823,BOS,Home,SAS,02/12/2014,L,240,92,37,80,46.3,6,17,35.3,12,17,70.6,9,29,38,24,5,2,14,15,-12
14824,CHA,Away,BKN,02/12/2014,L,240,89,36,87,41.4,10,27,37.0,7,15,46.7,11,32,43,17,4,4,10,15,-16
14825,BKN,Home,CHA,02/12/2014,W,240,105,40,80,50.0,13,31,41.9,12,15,80.0,5,37,42,23,3,4,9,18,16
14826,SAC,Away,NYK,02/12/2014,W,265,106,40,85,47.1,10,23,43.5,16,19,84.2,11,31,42,16,7,1,16,18,5
14827,NYK,Home,SAC,02/12/2014,L,265,101,41,90,45.6,9,24,37.5,10,14,71.4,13,32,45,27,7,3,18,21,-5
14828,MIA,Away,GSW,02/12/2014,W,240,111,42,78,53.8,10,22,45.5,17,25,68.0,4,31,35,25,11,5,12,20,1
14829,GSW,Home,MIA,02/12/2014,L,240,110,40,83,48.2,9,16,56.3,21,26,80.8,11,32,43,22,10,4,13,18,-1
14830,CHA,Home,DAL,02/11/2014,W,240,114,45,82,54.9,12,24,50.0,12,15,80.0,6,32,38,42,3,7,9,15,25
14831,DAL,Away,CHA,02/11/2014,L,240,89,37,82,45.1,5,14,35.7,10,12,83.3,7,26,33,20,5,4,8,15,-25
14832,WAS,Away,MEM,02/11/2014,L,240,89,34,74,45.9,7,24,29.2,14,20,70.0,5,28,33,14,8,7,13,20,-3
14833,MEM,Home,WAS,02/11/2014,W,240,92,33,70,47.1,3,13,23.1,23,27,85.2,9,31,40,16,11,4,19,19,3
14834,OKC,Away,POR,02/11/2014,W,240,98,40,83,48.2,7,14,50.0,11,12,91.7,10,34,44,14,8,3,16,22,3
14835,POR,Home,OKC,02/11/2014,L,240,95,32,85,37.6,7,23,30.4,24,27,88.9,13,29,42,17,8,3,17,14,-3
14836,SAC,Away,CLE,02/11/2014,L,240,99,34,74,45.9,8,26,30.8,23,33,69.7,9,27,36,18,4,6,14,18,-10
14837,CLE,Home,SAC,02/11/2014,W,240,109,41,86,47.7,12,21,57.1,15,23,65.2,15,30,45,30,8,1,13,27,10
14838,PHX,Home,MIA,02/11/2014,L,240,97,35,76,46.1,12,28,42.9,15,17,88.2,6,30,36,20,6,6,16,23,-6
14839,MIA,Away,PHX,02/11/2014,W,240,103,36,76,47.4,9,27,33.3,22,30,73.3,9,32,41,14,12,1,13,17,6
14840,CHI,Home,ATL,02/11/2014,W,240,100,43,85,50.6,8,20,40.0,6,13,46.2,17,40,57,30,6,5,16,9,15
14841,ATL,Away,CHI,02/11/2014,L,240,85,35,80,43.8,10,23,43.5,5,9,55.6,5,23,28,21,9,6,10,16,-15
14842,UTA,Away,LAL,02/11/2014,W,240,96,37,85,43.5,6,17,35.3,16,25,64.0,15,40,55,23,10,6,11,14,17
14843,LAL,Home,UTA,02/11/2014,L,240,79,33,85,38.8,4,16,25.0,9,13,69.2,10,30,40,21,6,7,11,15,-17
14844,TOR,Home,NOP,02/10/2014,W,240,108,36,76,47.4,10,24,41.7,26,33,78.8,9,27,36,22,6,3,11,20,7
14845,NOP,Away,TOR,02/10/2014,L,240,101,39,77,50.6,6,12,50.0,17,26,65.4,9,27,36,21,8,4,15,26,-7
14846,MIN,Home,HOU,02/10/2014,L,240,89,31,87,35.6,6,25,24.0,21,21,100,16,27,43,20,8,3,17,20,-18
14847,HOU,Away,MIN,02/10/2014,W,240,107,39,82,47.6,11,27,40.7,18,20,90.0,10,36,46,25,10,4,19,23,18
14848,MIL,Home,BOS,02/10/2014,L,240,86,31,72,43.1,6,16,37.5,18,25,72.0,8,28,36,17,5,4,21,19,-16
14849,BOS,Away,MIL,02/10/2014,W,240,102,42,88,47.7,7,20,35.0,11,14,78.6,14,29,43,25,8,6,16,22,16
14850,IND,Home,DEN,02/10/2014,W,240,119,46,80,57.5,4,16,25.0,23,26,88.5,13,43,56,21,6,8,15,18,39
14851,DEN,Away,IND,02/10/2014,L,240,80,28,89,31.5,6,26,23.1,18,26,69.2,16,21,37,17,3,1,11,23,-39
14852,DET,Home,SAS,02/10/2014,W,240,109,43,90,47.8,5,16,31.3,18,26,69.2,18,24,42,16,13,4,13,19,9
14853,SAS,Away,DET,02/10/2014,L,240,100,43,82,52.4,5,17,29.4,9,11,81.8,8,30,38,27,2,3,19,18,-9
14854,PHI,Away,GSW,02/10/2014,L,240,80,33,90,36.7,2,17,11.8,12,17,70.6,7,31,38,15,10,2,17,21,-43
14855,GSW,Home,PHI,02/10/2014,W,240,123,43,88,48.9,12,29,41.4,25,30,83.3,13,47,60,24,9,11,18,20,43
14856,OKC,Home,NYK,02/09/2014,W,240,112,40,73,54.8,12,27,44.4,20,27,74.1,5,36,41,28,6,5,12,19,12
14857,NYK,Away,OKC,02/09/2014,L,240,100,38,86,44.2,9,24,37.5,15,20,75.0,12,26,38,27,6,3,12,21,-12
14858,WAS,Home,SAC,02/09/2014,W,240,93,34,79,43.0,8,21,38.1,17,22,77.3,10,28,38,20,9,8,15,18,9
14859,SAC,Away,WAS,02/09/2014,L,240,84,29,82,35.4,2,11,18.2,24,28,85.7,17,32,49,17,9,3,18,19,-9
14860,MEM,Away,CLE,02/09/2014,L,265,83,33,86,38.4,3,14,21.4,14,16,87.5,9,37,46,22,8,6,15,21,-8
14861,CLE,Home,MEM,02/09/2014,W,265,91,35,88,39.8,10,20,50.0,11,18,61.1,10,38,48,24,6,5,14,20,8
14862,PHI,Away,LAC,02/09/2014,L,240,78,27,100,27.0,3,28,10.7,21,25,84.0,20,24,44,16,15,4,18,16,-45
14863,LAC,Home,PHI,02/09/2014,W,240,123,50,89,56.2,9,28,32.1,14,17,82.4,11,48,59,33,12,9,23,20,45
14864,IND,Away,ORL,02/09/2014,L,240,92,35,79,44.3,11,24,45.8,11,19,57.9,7,34,41,19,6,6,15,20,-1
14865,ORL,Home,IND,02/09/2014,W,240,93,34,83,41.0,5,12,41.7,20,26,76.9,11,37,48,13,9,1,13,16,1
14866,DAL,Away,BOS,02/09/2014,W,240,102,37,82,45.1,10,23,43.5,18,20,90.0,10,38,48,21,6,4,10,12,11
14867,BOS,Home,DAL,02/09/2014,L,240,91,33,92,35.9,11,27,40.7,14,15,93.3,11,32,43,27,5,3,11,19,-11
14868,BKN,Home,NOP,02/09/2014,W,240,93,35,66,53.0,6,28,21.4,17,29,58.6,7,38,45,20,10,6,22,24,12
14869,NOP,Away,BKN,02/09/2014,L,240,81,30,83,36.1,6,18,33.3,15,27,55.6,16,26,42,20,15,2,16,25,-12
14870,LAL,Home,CHI,02/09/2014,L,240,86,36,82,43.9,6,19,31.6,8,11,72.7,7,36,43,26,7,5,18,15,-6
14871,CHI,Away,LAL,02/09/2014,W,240,92,34,80,42.5,7,22,31.8,17,17,100,8,35,43,21,13,6,15,16,6
14872,CHA,Home,SAS,02/08/2014,L,240,100,39,89,43.8,6,16,37.5,16,22,72.7,13,34,47,24,10,6,11,18,-4
14873,SAS,Away,CHA,02/08/2014,W,240,104,36,77,46.8,8,21,38.1,24,28,85.7,7,36,43,24,7,6,14,16,4
14874,POR,Away,MIN,02/08/2014,W,240,117,40,83,48.2,8,23,34.8,29,38,76.3,10,37,47,28,7,7,13,30,7
14875,MIN,Home,POR,02/08/2014,L,240,110,40,97,41.2,5,17,29.4,25,34,73.5,17,33,50,17,6,5,12,25,-7
14876,MEM,Away,ATL,02/08/2014,W,240,79,37,90,41.1,4,12,33.3,1,1,100,11,30,41,22,14,5,16,12,3
14877,ATL,Home,MEM,02/08/2014,L,240,76,30,70,42.9,8,20,40.0,8,15,53.3,7,35,42,21,10,3,21,10,-3
14878,MIL,Home,HOU,02/08/2014,L,240,95,40,90,44.4,6,15,40.0,9,11,81.8,14,33,47,26,6,6,18,18,-6
14879,HOU,Away,MIL,02/08/2014,W,240,101,42,85,49.4,8,24,33.3,9,13,69.2,6,32,38,23,11,5,13,15,6
14880,UTA,Home,MIA,02/08/2014,W,240,94,36,74,48.6,10,25,40.0,12,19,63.2,10,31,41,23,9,1,12,25,5
14881,MIA,Away,UTA,02/08/2014,L,240,89,29,67,43.3,7,23,30.4,24,30,80.0,5,27,32,19,8,2,10,17,-5
14882,DET,Home,DEN,02/08/2014,W,240,126,50,98,51.0,8,20,40.0,18,23,78.3,13,27,40,28,11,5,10,16,17
14883,DEN,Away,DET,02/08/2014,L,240,109,41,88,46.6,15,33,45.5,12,22,54.5,15,32,47,24,4,5,20,17,-17
14884,PHX,Home,GSW,02/08/2014,W,240,122,43,80,53.8,11,21,52.4,25,30,83.3,12,33,45,16,9,2,18,22,13
14885,GSW,Away,PHX,02/08/2014,L,240,109,41,84,48.8,8,25,32.0,19,26,73.1,12,22,34,16,5,4,12,21,-13
