,TEAM,LOCATION,OPPONENT,DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
265,MIL,Away,CHA,01/24/2020,W,240,116,44,87,50.6,10,36,27.8,18,24,75.0,12,41,53,26,8,8,16,22,13
266,MIN,Home,HOU,01/24/2020,L,240,124,48,98,49.0,11,32,34.4,17,20,85.0,13,38,51,28,8,8,17,26,-7
267,HOU,Away,MIN,01/24/2020,W,240,131,47,91,51.6,11,32,34.4,26,31,83.9,5,30,35,24,11,9,11,18,7
268,MIA,Home,LAC,01/24/2020,L,240,117,40,93,43.0,13,44,29.5,24,29,82.8,9,36,45,25,4,4,9,19,-5
269,LAC,Away,MIA,01/24/2020,W,240,122,43,94,45.7,16,35,45.7,20,23,87.0,11,37,48,33,5,3,9,21,5
270,DET,Home,MEM,01/24/2020,L,240,112,39,91,42.9,11,32,34.4,23,31,74.2,10,27,37,23,8,1,8,23,-13
271,MEM,Away,DET,01/24/2020,W,240,125,43,79,54.4,11,22,50.0,28,31,90.3,8,41,49,27,6,4,14,23,13
272,ORL,Home,BOS,01/24/2020,L,240,98,36,90,40.0,12,37,32.4,14,19,73.7,13,33,46,18,5,1,14,14,-11
273,BOS,Away,ORL,01/24/2020,W,240,109,40,86,46.5,14,35,40.0,15,18,83.3,9,35,44,27,10,7,14,20,11
274,TOR,Away,NYK,01/24/2020,W,240,118,41,81,50.6,17,35,48.6,19,23,82.6,5,26,31,25,10,6,7,20,6
275,NYK,Home,TOR,01/24/2020,L,240,112,42,85,49.4,13,36,36.1,15,21,71.4,14,32,46,26,5,4,16,21,-6
276,SAC,Away,CHI,01/24/2020,W,240,98,35,81,43.2,10,32,31.3,18,21,85.7,7,35,42,24,8,8,14,20,17
277,CHI,Home,SAC,01/24/2020,L,240,81,31,79,39.2,8,37,21.6,11,14,78.6,8,35,43,23,6,4,21,21,-17
278,SAS,Home,PHX,01/24/2020,L,240,99,33,78,42.3,5,25,20.0,28,33,84.8,10,33,43,19,9,8,14,22,-4
279,PHX,Away,SAS,01/24/2020,W,240,103,39,84,46.4,8,29,27.6,17,21,81.0,10,32,42,25,6,4,14,27,4
280,IND,Away,GSW,01/24/2020,W,240,129,50,87,57.5,17,28,60.7,12,13,92.3,5,31,36,35,15,4,12,20,11
281,GSW,Home,IND,01/24/2020,L,240,118,40,82,48.8,19,39,48.7,19,23,82.6,7,31,38,31,6,3,20,16,-11
282,POR,Home,DAL,01/23/2020,L,240,125,46,91,50.5,21,39,53.8,12,15,80.0,11,32,43,20,4,4,15,20,-8
283,DAL,Away,POR,01/23/2020,W,240,133,48,93,51.6,22,47,46.8,15,24,62.5,12,29,41,27,5,7,9,17,8
284,WAS,Away,CLE,01/23/2020,W,240,124,47,85,55.3,16,36,44.4,14,18,77.8,7,34,41,28,3,3,10,18,12
285,CLE,Home,WAS,01/23/2020,L,240,112,44,96,45.8,11,33,33.3,13,17,76.5,10,26,36,24,7,1,9,21,-12
286,BKN,Home,LAL,01/23/2020,L,240,113,40,91,44.0,21,46,45.7,12,15,80.0,8,33,41,30,12,3,16,17,-15
287,LAL,Away,BKN,01/23/2020,W,240,128,47,94,50.0,19,38,50.0,15,20,75.0,11,41,52,28,9,6,16,15,15
288,SAS,Away,NOP,01/22/2020,W,240,121,45,89,50.6,11,27,40.7,20,25,80.0,9,35,44,17,7,4,11,23,4
289,NOP,Home,SAS,01/22/2020,L,240,117,39,84,46.4,14,36,38.9,25,32,78.1,8,33,41,26,6,3,14,21,-4
290,TOR,Home,PHI,01/22/2020,W,240,107,40,86,46.5,13,33,39.4,14,21,66.7,8,45,53,27,6,2,12,19,12
291,PHI,Away,TOR,01/22/2020,L,240,95,32,84,38.1,18,46,39.1,13,18,72.2,8,37,45,25,8,6,13,23,-12
292,LAC,Away,ATL,01/22/2020,L,240,95,33,78,42.3,4,21,19.0,25,39,64.1,8,37,45,19,5,8,14,20,-7
293,ATL,Home,LAC,01/22/2020,W,240,102,36,102,35.3,11,35,31.4,19,23,82.6,23,40,63,21,8,3,15,31,7
294,WAS,Away,MIA,01/22/2020,L,265,129,50,99,50.5,13,42,31.0,16,20,80.0,7,34,41,30,10,5,11,29,-5
295,MIA,Home,WAS,01/22/2020,W,265,134,43,85,50.6,17,33,51.5,31,36,86.1,6,37,43,29,3,6,16,18,5
296,HOU,Home,DEN,01/22/2020,W,240,121,42,89,47.2,13,29,44.8,24,28,85.7,18,35,53,26,10,7,19,16,16
297,DEN,Away,HOU,01/22/2020,L,240,105,42,92,45.7,10,28,35.7,11,15,73.3,13,27,40,25,12,6,15,21,-16
298,DET,Home,SAC,01/22/2020,W,240,127,39,73,53.4,12,29,41.4,37,44,84.1,3,45,48,19,9,4,17,19,21
299,SAC,Away,DET,01/22/2020,L,240,106,42,98,42.9,10,35,28.6,12,23,52.2,12,33,45,23,10,1,11,28,-21
300,OKC,Away,ORL,01/22/2020,W,240,120,46,76,60.5,9,19,47.4,19,23,82.6,0,36,36,22,10,7,15,17,6
301,ORL,Home,OKC,01/22/2020,L,240,114,44,92,47.8,14,35,40.0,12,16,75.0,11,28,39,26,9,3,15,25,-6
302,MEM,Away,BOS,01/22/2020,L,240,95,36,85,42.4,11,32,34.4,12,15,80.0,5,35,40,24,7,8,19,16,-24
303,BOS,Home,MEM,01/22/2020,W,240,119,45,89,50.6,14,32,43.8,15,20,75.0,9,35,44,32,11,9,11,14,24
304,PHX,Home,IND,01/22/2020,L,240,87,30,84,35.7,4,20,20.0,23,26,88.5,9,35,44,13,7,3,13,20,-25
305,IND,Away,PHX,01/22/2020,W,240,112,45,84,53.6,9,20,45.0,13,20,65.0,4,38,42,26,8,8,9,20,25
306,NYK,Home,LAL,01/22/2020,L,240,92,36,88,40.9,11,34,32.4,9,13,69.2,13,34,47,24,4,4,17,23,-8
307,LAL,Away,NYK,01/22/2020,W,240,100,36,82,43.9,9,27,33.3,19,28,67.9,11,32,43,18,13,8,10,14,8
308,MIN,Away,CHI,01/22/2020,L,240,110,41,86,47.7,15,44,34.1,13,24,54.2,10,33,43,27,7,3,18,25,-7
309,CHI,Home,MIN,01/22/2020,W,240,117,39,84,46.4,9,30,30.0,30,37,81.1,12,38,50,21,9,2,13,22,7
310,UTA,Away,GSW,01/22/2020,W,240,129,50,93,53.8,17,40,42.5,12,23,52.2,15,41,56,31,5,3,11,19,33
311,GSW,Home,UTA,01/22/2020,L,240,96,35,88,39.8,6,23,26.1,20,24,83.3,11,26,37,20,5,5,8,23,-33
312,LAC,Away,DAL,01/21/2020,W,240,110,36,97,37.1,12,38,31.6,26,33,78.8,20,37,57,19,9,3,11,21,3
