,Player,Play Type,Secondary Player,Clock,Quarter,Team,Opponent,Score,Home?,Distance,Points,Shot Type
41,Jonas Valanciunas,FT_MISS,None,7:58,2,Grizzlies,Clippers,25 - 41,0,N/A,1,N/A
42,Team,OFFENSIVE_REBOUND,None,7:58,2,Grizzlies,Clippers,25 - 41,0,N/A,N/A,N/A
43,Jonas Valanciunas,FT,None,7:58,2,Grizzlies,Clippers,26 - 41,0,N/A,1,N/A
44,Lou Williams,FG_UNASSISTED,None,7:47,2,Clippers,Grizzlies,26 - 43,1, ,3,Jumper
45,Tyler Dorsey,FG_MISS,None,7:36,2,Grizzlies,Clippers,26 - 43,0,26,3,Jumper
46,Jonas Valanciunas,OFFENSIVE_REBOUND,None,7:34,2,Grizzlies,Clippers,26 - 43,0,N/A,N/A,N/A
47,Chandler Parsons,FG_MISS,None,7:30,2,Grizzlies,Clippers,26 - 43,0,20,3,Jumper
48,Wilson Chandler,DEFENSIVE_REBOUND,None,7:27,2,Clippers,Grizzlies,26 - 43,1,N/A,N/A,N/A
49,Montrezl Harrell,FG_ASSISTED,Wilson Chandler,7:23,2,Clippers,Grizzlies,26 - 45,1, ,3,Jumper
50,Tyler Dorsey,FG_ASSISTED,Chandler Parsons,7:10,2,Grizzlies,Clippers,29 - 45,0,23,3,Jumper
51,Montrezl Harrell,FG_MISS,Jonas Valanciunas,6:59,2,Grizzlies,Clippers,29 - 45,1,0,2,Dunk
52,Garrett Temple,OFFENSIVE_REBOUND,None,6:57,2,Clippers,Grizzlies,29 - 45,1,N/A,N/A,N/A
53,Delon Wright,FOUL_ON_FLOOR,None,6:57,2,Grizzlies,Clippers,29 - 45,0,N/A,N/A,N/A
54,Montrezl Harrell,FT,None,6:57,2,Clippers,Grizzlies,29 - 46,1,N/A,1,N/A
55,Yuta Watanabe,SUBSTITUTION,Parsons Chandler,6:57,2,Grizzlies,Clippers,29 - 46,0,N/A,N/A,N/A
56,Montrezl Harrell,FT,None,6:57,2,Clippers,Grizzlies,29 - 47,1,N/A,1,N/A
57,Tyler Dorsey,FG_MISS,None,6:41,2,Grizzlies,Clippers,29 - 47,0,17,3,Jumper
58,Team,OFFENSIVE_REBOUND,None,6:38,2,Grizzlies,Clippers,29 - 47,0,N/A,N/A,N/A
59,Shai Gilgeous-Alexander,SUBSTITUTION,Harrell Montrezl,6:38,2,Clippers,Grizzlies,29 - 47,1,N/A,N/A,N/A
60,Ivica Zubac,SUBSTITUTION,Temple Garrett,6:38,2,Clippers,Grizzlies,29 - 47,1,N/A,N/A,N/A
61,Landry Shamet,SUBSTITUTION,Williams Lou,6:38,2,Clippers,Grizzlies,29 - 47,1,N/A,N/A,N/A
62,Wilson Chandler,FOUL_ON_FLOOR,None,6:28,2,Clippers,Grizzlies,29 - 47,1,N/A,N/A,N/A
63,Jonas Valanciunas,FT,None,6:28,2,Grizzlies,Clippers,30 - 47,0,N/A,1,N/A
64,Danilo Gallinari,SUBSTITUTION,Green JaMychal,6:28,2,Clippers,Grizzlies,30 - 47,1,N/A,N/A,N/A
65,Jonas Valanciunas,FT,None,6:28,2,Grizzlies,Clippers,31 - 47,0,N/A,1,N/A
66,Tyler Dorsey,FOUL_ON_FLOOR,None,6:19,2,Grizzlies,Clippers,31 - 47,0,N/A,N/A,N/A
67,Shai Gilgeous-Alexander,FT,None,6:19,2,Clippers,Grizzlies,31 - 48,1,N/A,1,N/A
68,Patrick Beverley,SUBSTITUTION,Chandler Wilson,6:19,2,Clippers,Grizzlies,31 - 48,1,N/A,N/A,N/A
69,Shai Gilgeous-Alexander,FT,None,6:19,2,Clippers,Grizzlies,31 - 49,1,N/A,1,N/A
70,Tyler Dorsey,FG_ASSISTED,Delon Wright,6:07,2,Grizzlies,Clippers,33 - 49,0,0,2,Layup
71,Ivica Zubac,FG_MISS,None,5:50,2,Clippers,Grizzlies,33 - 49,1,0,2,Layup
72,Yuta Watanabe,DEFENSIVE_REBOUND,None,5:48,2,Grizzlies,Clippers,33 - 49,0,N/A,N/A,N/A
73,Justin Holiday,FG_MISS,None,5:40,2,Grizzlies,Clippers,33 - 49,0,24,3,Jumper
74,Jonas Valanciunas,OFFENSIVE_REBOUND,None,5:37,2,Grizzlies,Clippers,33 - 49,0,N/A,N/A,N/A
75,Jonas Valanciunas,FG_MISS,None,5:35,2,Grizzlies,Clippers,33 - 49,0, ,3,Jumper
76,Patrick Beverley,DEFENSIVE_REBOUND,None,5:32,2,Clippers,Grizzlies,33 - 49,1,N/A,N/A,N/A
77,Shai Gilgeous-Alexander,FG_ASSISTED,Patrick Beverley,5:29,2,Clippers,Grizzlies,33 - 51,1, ,3,Jumper
78,Ivan Rabb,SUBSTITUTION,Valanciunas Jonas,5:22,2,Grizzlies,Clippers,33 - 51,0,N/A,N/A,N/A
79,Delon Wright,FG_MISS,None,5:08,2,Grizzlies,Clippers,33 - 51,0,0,2,Layup
80,Ivica Zubac,DEFENSIVE_REBOUND,None,5:07,2,Clippers,Grizzlies,33 - 51,1,N/A,N/A,N/A
81,Shai Gilgeous-Alexander,TURNOVER,Ivan Rabb,5:01,2,Clippers,Grizzlies,33 - 51,1,N/A,N/A,N/A
82,Justin Holiday,TURNOVER,Shai Gilgeous-Alexander,4:55,2,Grizzlies,Clippers,33 - 51,0,N/A,N/A,N/A
83,Ivica Zubac,FG_ASSISTED,Landry Shamet,4:49,2,Clippers,Grizzlies,33 - 53,1,0,2,Dunk
84,Justin Holiday,FG_ASSISTED,Delon Wright,4:31,2,Grizzlies,Clippers,36 - 53,0,23,3,Jumper
85,Shai Gilgeous-Alexander,TURNOVER,Yuta Watanabe,4:21,2,Clippers,Grizzlies,36 - 53,1,N/A,N/A,N/A
86,Justin Holiday,FG_ASSISTED,Yuta Watanabe,4:16,2,Grizzlies,Clippers,38 - 53,0, ,3,Jumper
87,Landry Shamet,FG_MISS,None,3:54,2,Clippers,Grizzlies,38 - 53,1,25,3,Jumper
88,Yuta Watanabe,DEFENSIVE_REBOUND,None,3:52,2,Grizzlies,Clippers,38 - 53,0,N/A,N/A,N/A
89,Yuta Watanabe,TURNOVER,None,3:44,2,Grizzlies,Clippers,38 - 53,0,N/A,N/A,N/A
90,Team,Unknown,None,3:44,2,Clippers,Grizzlies,38 - 53,1,N/A,N/A,N/A
91,Patrick Beverley,FG_MISS,None,3:28,2,Clippers,Grizzlies,38 - 53,1,25,3,Jumper
92,Delon Wright,DEFENSIVE_REBOUND,None,3:23,2,Grizzlies,Clippers,38 - 53,0,N/A,N/A,N/A
93,Justin Holiday,FG_MISS,None,3:06,2,Grizzlies,Clippers,38 - 53,0,23,3,Jumper
94,Ivan Rabb,OFFENSIVE_REBOUND,None,3:04,2,Grizzlies,Clippers,38 - 53,0,N/A,N/A,N/A
