,Player,Play Type,Secondary Player,Clock,Quarter,Team,Opponent,Score,Home?,Distance,Points,Shot Type
102,Tim Hardaway,TURNOVER,Malcolm Brogdon,2:16,2,Knicks,Bucks,48 - 66,0,N/A,N/A,N/A
103,Malcolm Brogdon,FG_MISS,None,2:11,2,Bucks,Knicks,48 - 66,1, ,3,Jumper
104,Giannis Antetokounmpo,OFFENSIVE_REBOUND,None,2:08,2,Bucks,Knicks,48 - 66,1,N/A,N/A,N/A
105,Giannis Antetokounmpo,FG_MISS,None,2:08,2,Bucks,Knicks,48 - 66,1, ,3,Jumper
106,Mario Hezonja,DEFENSIVE_REBOUND,None,2:07,2,Knicks,Bucks,48 - 66,0,N/A,N/A,N/A
107,John Henson,FOUL_ON_FLOOR,None,2:05,2,Bucks,Knicks,48 - 66,1,N/A,N/A,N/A
108,Donte DiVincenzo,FOUL_ON_FLOOR,None,2:02,2,Bucks,Knicks,48 - 66,1,N/A,N/A,N/A
109,Allonzo Trier,FG_MISS,None,1:53,2,Knicks,Bucks,48 - 66,0,15,3,Jumper
110,Donte DiVincenzo,DEFENSIVE_REBOUND,None,1:51,2,Bucks,Knicks,48 - 66,1,N/A,N/A,N/A
111,John Henson,FG_MISS,None,1:44,2,Bucks,Knicks,48 - 66,1,24,3,Jumper
112,Enes Kanter,DEFENSIVE_REBOUND,None,1:40,2,Knicks,Bucks,48 - 66,0,N/A,N/A,N/A
113,Tim Hardaway,FG_ASSISTED,Mario Hezonja,1:33,2,Knicks,Bucks,50 - 66,0,13,3,Jumper
114,Tim Hardaway,FOUL_ON_FLOOR,None,1:09,2,Knicks,Bucks,50 - 66,0,N/A,N/A,N/A
115,Malcolm Brogdon,FT,None,1:09,2,Bucks,Knicks,50 - 67,1,N/A,1,N/A
116,Brook Lopez,SUBSTITUTION,Henson John,1:09,2,Bucks,Knicks,50 - 67,1,N/A,N/A,N/A
117,Malcolm Brogdon,FT,None,1:09,2,Bucks,Knicks,50 - 68,1,N/A,1,N/A
118,Enes Kanter,FG_MISS,None,48.6,2,Knicks,Bucks,50 - 68,0, ,3,Jumper
119,Giannis Antetokounmpo,DEFENSIVE_REBOUND,None,46.1,2,Bucks,Knicks,50 - 68,1,N/A,N/A,N/A
120,Ersan Ilyasova,TURNOVER,None,40.2,2,Bucks,Knicks,50 - 68,1,N/A,N/A,N/A
121,Tim Hardaway,FG_MISS,None,29.4,2,Knicks,Bucks,50 - 68,0,26,3,Jumper
122,Team,DEFENSIVE_REBOUND,None,29.4,2,Bucks,Knicks,50 - 68,1,N/A,N/A,N/A
123,Enes Kanter,FOUL_ON_FLOOR,None,29.4,2,Knicks,Bucks,50 - 68,0,N/A,N/A,N/A
124,Ersan Ilyasova,FT,None,29.4,2,Bucks,Knicks,50 - 69,1,N/A,1,N/A
125,Lance Thomas,SUBSTITUTION,Kanter Enes,29.4,2,Knicks,Bucks,50 - 69,0,N/A,N/A,N/A
126,Ersan Ilyasova,FT_MISS,None,29.4,2,Bucks,Knicks,50 - 69,1,N/A,1,N/A
127,Mario Hezonja,DEFENSIVE_REBOUND,None,26.7,2,Knicks,Bucks,50 - 69,0,N/A,N/A,N/A
128,Tim Hardaway,FG_UNASSISTED,None,16.4,2,Knicks,Bucks,52 - 69,0,0,2,Layup
