,Player,Play Type,Secondary Player,Clock,Quarter,Team,Opponent,Score,Home?,Distance,Points,Shot Type
55,Daniel Theis,FOUL_ON_FLOOR,None,6:17,4,Celtics,Wizards,88 - 97,1,N/A,N/A,N/A
56,Marcus Smart,SUBSTITUTION,Rozier Terry,6:17,4,Celtics,Wizards,88 - 97,1,N/A,N/A,N/A
57,Kyrie Irving,SUBSTITUTION,Hayward Gordon,6:17,4,Celtics,Wizards,88 - 97,1,N/A,N/A,N/A
58,Al Horford,SUBSTITUTION,Theis Daniel,6:17,4,Celtics,Wizards,88 - 97,1,N/A,N/A,N/A
59,Tomas Satoransky,SUBSTITUTION,Parker Jabari,6:17,4,Wizards,Celtics,88 - 97,0,N/A,N/A,N/A
60,Trevor Ariza,FG_MISS,None,6:08,4,Wizards,Celtics,88 - 97,0,24,3,Jumper
61,Bobby Portis,OFFENSIVE_REBOUND,None,6:04,4,Wizards,Celtics,88 - 97,0,N/A,N/A,N/A
62,Bradley Beal,FG_MISS,None,6:03,4,Wizards,Celtics,88 - 97,0,26,3,Jumper
63,Trevor Ariza,OFFENSIVE_REBOUND,None,6:00,4,Wizards,Celtics,88 - 97,0,N/A,N/A,N/A
64,Bradley Beal,FG_MISS,None,5:59,4,Wizards,Celtics,88 - 97,0,23,3,Jumper
65,Jayson Tatum,DEFENSIVE_REBOUND,None,5:58,4,Celtics,Wizards,88 - 97,1,N/A,N/A,N/A
66,Jaylen Brown,FG_MISS,None,5:40,4,Celtics,Wizards,88 - 97,1,27,3,Jumper
67,Bobby Portis,DEFENSIVE_REBOUND,None,5:39,4,Wizards,Celtics,88 - 97,0,N/A,N/A,N/A
68,Tomas Satoransky,FG_MISS,None,5:22,4,Wizards,Celtics,88 - 97,0,26,3,Jumper
69,Bradley Beal,OFFENSIVE_REBOUND,None,5:20,4,Wizards,Celtics,88 - 97,0,N/A,N/A,N/A
70,Trevor Ariza,TURNOVER,None,5:11,4,Wizards,Celtics,88 - 97,0,N/A,N/A,N/A
71,Jayson Tatum,FG_MISS,None,5:09,4,Celtics,Wizards,88 - 97,1,26,3,Jumper
72,Tomas Satoransky,DEFENSIVE_REBOUND,None,5:07,4,Wizards,Celtics,88 - 97,0,N/A,N/A,N/A
73,Jayson Tatum,FOUL_ON_FLOOR,None,4:59,4,Celtics,Wizards,88 - 97,1,N/A,N/A,N/A
74,Trevor Ariza,FG_MISS,None,4:55,4,Wizards,Celtics,88 - 97,0,26,3,Jumper
75,Team,DEFENSIVE_REBOUND,None,4:52,4,Celtics,Wizards,88 - 97,1,N/A,N/A,N/A
76,Jayson Tatum,FG_MISS,None,4:32,4,Celtics,Wizards,88 - 97,1,24,3,Jumper
77,Team,DEFENSIVE_REBOUND,None,4:31,4,Wizards,Celtics,88 - 97,0,N/A,N/A,N/A
78,Kyrie Irving,FOUL_ON_FLOOR,None,4:31,4,Celtics,Wizards,88 - 97,1,N/A,N/A,N/A
79,Gordon Hayward,SUBSTITUTION,Tatum Jayson,4:31,4,Celtics,Wizards,88 - 97,1,N/A,N/A,N/A
80,Bradley Beal,FG_MISS,None,4:22,4,Wizards,Celtics,88 - 97,0,20,3,Jumper
81,Team,DEFENSIVE_REBOUND,None,4:20,4,Celtics,Wizards,88 - 97,1,N/A,N/A,N/A
82,Bobby Portis,FOUL_ON_FLOOR,None,4:20,4,Wizards,Celtics,88 - 97,0,N/A,N/A,N/A
83,Jaylen Brown,FG_UNASSISTED,None,4:00,4,Celtics,Wizards,88 - 99,1,2,3,Jumper
84,Tomas Satoransky,FG_ASSISTED,Trevor Ariza,3:51,4,Wizards,Celtics,90 - 99,0,3,3,Jumper
85,Team,Unknown,None,3:50,4,Celtics,Wizards,90 - 99,1,N/A,N/A,N/A
86,Kyrie Irving,FG_MISS,None,3:35,4,Celtics,Wizards,90 - 99,1,25,3,Jumper
87,Jeff Green,DEFENSIVE_REBOUND,None,3:31,4,Wizards,Celtics,90 - 99,0,N/A,N/A,N/A
88,Tomas Satoransky,FG_MISS,Al Horford,3:18,4,Celtics,Wizards,90 - 99,0,0,2,Layup
89,Al Horford,DEFENSIVE_REBOUND,None,3:16,4,Celtics,Wizards,90 - 99,1,N/A,N/A,N/A
90,Team,Unknown,None,3:10,4,Celtics,Wizards,90 - 99,1,N/A,N/A,N/A
91,Marcus Smart,FG_ASSISTED,Kyrie Irving,2:58,4,Celtics,Wizards,90 - 102,1,27,3,Jumper
92,Jeff Green,FG_ASSISTED,Tomas Satoransky,2:40,4,Wizards,Celtics,93 - 102,0,26,3,Jumper
93,Tomas Satoransky,FOUL_ON_FLOOR,None,2:21,4,Wizards,Celtics,93 - 102,0,N/A,N/A,N/A
94,Jaylen Brown,FT,None,2:21,4,Celtics,Wizards,93 - 103,1,N/A,1,N/A
95,Jaylen Brown,FT,None,2:21,4,Celtics,Wizards,93 - 104,1,N/A,1,N/A
96,Jeff Green,FG_MISS,None,2:01,4,Wizards,Celtics,93 - 104,0,25,3,Jumper
97,Tomas Satoransky,OFFENSIVE_REBOUND,None,2:00,4,Wizards,Celtics,93 - 104,0,N/A,N/A,N/A
98,Bradley Beal,FG_MISS,None,1:55,4,Wizards,Celtics,93 - 104,0,23,3,Jumper
99,Jaylen Brown,DEFENSIVE_REBOUND,None,1:53,4,Celtics,Wizards,93 - 104,1,N/A,N/A,N/A
100,Marcus Smart,FG_ASSISTED,Al Horford,1:47,4,Celtics,Wizards,93 - 106,1,0,2,Dunk
101,Jeff Green,FG_MISS,None,1:37,4,Wizards,Celtics,93 - 106,0,24,3,Jumper
102,Kyrie Irving,DEFENSIVE_REBOUND,None,1:35,4,Celtics,Wizards,93 - 106,1,N/A,N/A,N/A
103,Kyrie Irving,FG_MISS,None,1:28,4,Celtics,Wizards,93 - 106,1,1,3,Jumper
104,Bobby Portis,DEFENSIVE_REBOUND,None,1:26,4,Wizards,Celtics,93 - 106,0,N/A,N/A,N/A
105,Gordon Hayward,FOUL_ON_FLOOR,None,1:24,4,Celtics,Wizards,93 - 106,1,N/A,N/A,N/A
106,Bobby Portis,FT_MISS,None,1:24,4,Wizards,Celtics,93 - 106,0,N/A,1,N/A
107,Team,OFFENSIVE_REBOUND,None,1:24,4,Wizards,Celtics,93 - 106,0,N/A,N/A,N/A
108,Bobby Portis,FT,None,1:24,4,Wizards,Celtics,94 - 106,0,N/A,1,N/A
109,Jaylen Brown,FG_MISS,None,1:12,4,Celtics,Wizards,94 - 106,1,24,3,Jumper
110,Bradley Beal,DEFENSIVE_REBOUND,None,1:10,4,Wizards,Celtics,94 - 106,0,N/A,N/A,N/A
111,Trevor Ariza,FG_MISS,None,1:02,4,Wizards,Celtics,94 - 106,0,24,3,Jumper
112,Jaylen Brown,DEFENSIVE_REBOUND,None,1:00,4,Celtics,Wizards,94 - 106,1,N/A,N/A,N/A
113,Bobby Portis,FOUL_ON_FLOOR,None,45.7,4,Wizards,Celtics,94 - 106,0,N/A,N/A,N/A
114,Gordon Hayward,FT,None,45.7,4,Celtics,Wizards,94 - 107,1,N/A,1,N/A
115,Robert Williams,SUBSTITUTION,Irving Kyrie,45.7,4,Celtics,Wizards,94 - 107,1,N/A,N/A,N/A
116,Terry Rozier,SUBSTITUTION,Horford Al,45.7,4,Celtics,Wizards,94 - 107,1,N/A,N/A,N/A
117,Thomas Bryant,SUBSTITUTION,Beal Bradley,45.7,4,Wizards,Celtics,94 - 107,0,N/A,N/A,N/A
118,Chasson Randle,SUBSTITUTION,Portis Bobby,45.7,4,Wizards,Celtics,94 - 107,0,N/A,N/A,N/A
119,Troy Brown,SUBSTITUTION,Satoransky Tomas,45.7,4,Wizards,Celtics,94 - 107,0,N/A,N/A,N/A
120,Gordon Hayward,FT_MISS,None,45.7,4,Celtics,Wizards,94 - 107,1,N/A,1,N/A
121,Thomas Bryant,DEFENSIVE_REBOUND,None,45.7,4,Wizards,Celtics,94 - 107,0,N/A,N/A,N/A
122,Thomas Bryant,FG_ASSISTED,Troy Brown,37.5,4,Wizards,Celtics,96 - 107,0,18,3,Jumper
123,Jaylen Brown,FG_MISS,None,23.2,4,Celtics,Wizards,96 - 107,1,27,3,Jumper
124,Thomas Bryant,DEFENSIVE_REBOUND,None,21.2,4,Wizards,Celtics,96 - 107,0,N/A,N/A,N/A
125,End of,Unknown,None,0.0,4,Celtics,Wizards,96 - 107,1,N/A,N/A,N/A
126,End of,Unknown,None,0.0,4,Celtics,Wizards,96 - 107,1,N/A,N/A,N/A
