,Player,Play Type,Secondary Player,Clock,Quarter,Team,Opponent,Score,Home?,Distance,Points,Shot Type
22,Joel Embiid,TURNOVER,None,9:45,4,76ers,Celtics,70 - 85,0,N/A,N/A,N/A
23,Marcus Morris,FG_MISS,None,9:38,4,Celtics,76ers,70 - 85,1,29,3,Jumper
24,Aron Baynes,OFFENSIVE_REBOUND,None,9:36,4,Celtics,76ers,70 - 85,1,N/A,N/A,N/A
25,Marcus Morris,FG_MISS,None,9:31,4,Celtics,76ers,70 - 85,1,27,3,Jumper
26,Robert Covington,DEFENSIVE_REBOUND,None,9:29,4,76ers,Celtics,70 - 85,0,N/A,N/A,N/A
27,Joel Embiid,FG_MISS,None,9:18,4,76ers,Celtics,70 - 85,0,27,3,Jumper
28,Terry Rozier,DEFENSIVE_REBOUND,None,9:16,4,Celtics,76ers,70 - 85,1,N/A,N/A,N/A
29,Kyrie Irving,FG_ASSISTED,Aron Baynes,9:02,4,Celtics,76ers,70 - 87,1,0,2,Layup
30,Team,Unknown,None,9:01,4,76ers,Celtics,70 - 87,0,N/A,N/A,N/A
31,Jaylen Brown,FOUL_ON_FLOOR,None,8:52,4,Celtics,76ers,70 - 87,1,N/A,N/A,N/A
32,Dario Saric,SUBSTITUTION,McConnell T.J.,8:52,4,76ers,Celtics,70 - 87,0,N/A,N/A,N/A
33,Joel Embiid,FG_UNASSISTED,None,8:41,4,76ers,Celtics,72 - 87,0,8,3,Jumper
34,Terry Rozier,FG_UNASSISTED,None,8:20,4,Celtics,76ers,72 - 89,1,22,3,Jumper
35,Dario Saric,FG_MISS,None,8:11,4,76ers,Celtics,72 - 89,0,28,3,Jumper
36,Marcus Morris,DEFENSIVE_REBOUND,None,8:08,4,Celtics,76ers,72 - 89,1,N/A,N/A,N/A
37,Marcus Morris,FG_MISS,None,8:02,4,Celtics,76ers,72 - 89,1,24,3,Jumper
38,Team,OFFENSIVE_REBOUND,None,7:59,4,Celtics,76ers,72 - 89,1,N/A,N/A,N/A
39,Gordon Hayward,SUBSTITUTION,Rozier Terry,7:59,4,Celtics,76ers,72 - 89,1,N/A,N/A,N/A
40,Kyrie Irving,TURNOVER,None,7:58,4,Celtics,76ers,72 - 89,1,N/A,N/A,N/A
41,Ben Simmons,FG_ASSISTED,JJ Redick,7:42,4,76ers,Celtics,74 - 89,0, ,3,Jumper
42,Ben Simmons,FOUL_ON_FLOOR,None,7:34,4,76ers,Celtics,74 - 89,0,N/A,N/A,N/A
43,Al Horford,SUBSTITUTION,Baynes Aron,7:34,4,Celtics,76ers,74 - 89,1,N/A,N/A,N/A
44,Al Horford,FG_MISS,None,7:24,4,Celtics,76ers,74 - 89,1,7,3,Jumper
45,Joel Embiid,DEFENSIVE_REBOUND,None,7:22,4,76ers,Celtics,74 - 89,0,N/A,N/A,N/A
46,JJ Redick,FG_ASSISTED,Ben Simmons,7:16,4,76ers,Celtics,77 - 89,0,27,3,Jumper
47,Team,Unknown,None,7:15,4,Celtics,76ers,77 - 89,1,N/A,N/A,N/A
48,Marcus Morris,FG_ASSISTED,Kyrie Irving,7:03,4,Celtics,76ers,77 - 92,1,26,3,Jumper
49,JJ Redick,FG_ASSISTED,Dario Saric,6:44,4,76ers,Celtics,79 - 92,0,0,2,Layup
50,Jaylen Brown,FG_ASSISTED,Kyrie Irving,6:37,4,Celtics,76ers,79 - 94,1,0,2,Layup
51,Ben Simmons,TURNOVER,Marcus Morris,6:24,4,76ers,Celtics,79 - 94,0,N/A,N/A,N/A
52,Ben Simmons,FOUL_ON_FLOOR,None,6:23,4,76ers,Celtics,79 - 94,0,N/A,N/A,N/A
53,Kyrie Irving,FG_MISS,None,6:06,4,Celtics,76ers,79 - 94,1,28,3,Jumper
54,Robert Covington,DEFENSIVE_REBOUND,None,6:05,4,76ers,Celtics,79 - 94,0,N/A,N/A,N/A
55,Ben Simmons,FG_UNASSISTED,None,5:59,4,76ers,Celtics,81 - 94,0, ,3,Jumper
56,Marcus Morris,FOUL_ON_FLOOR,None,5:59,4,Celtics,76ers,81 - 94,1,N/A,N/A,N/A
57,Jayson Tatum,SUBSTITUTION,Morris Marcus,5:59,4,Celtics,76ers,81 - 94,1,N/A,N/A,N/A
58,Landry Shamet,SUBSTITUTION,Covington Robert,5:59,4,76ers,Celtics,81 - 94,0,N/A,N/A,N/A
59,Marcus Smart,SUBSTITUTION,Brown Jaylen,5:59,4,Celtics,76ers,81 - 94,1,N/A,N/A,N/A
60,Ben Simmons,FT,None,5:59,4,76ers,Celtics,82 - 94,0,N/A,1,N/A
61,Ben Simmons,FOUL_ON_FLOOR,None,5:52,4,76ers,Celtics,82 - 94,0,N/A,N/A,N/A
62,Jayson Tatum,TURNOVER,None,5:46,4,Celtics,76ers,82 - 94,1,N/A,N/A,N/A
63,Al Horford,FOUL_ON_FLOOR,None,5:44,4,Celtics,76ers,82 - 94,1,N/A,N/A,N/A
64,Ben Simmons,FT,None,5:44,4,76ers,Celtics,83 - 94,0,N/A,1,N/A
65,T.J. McConnell,SUBSTITUTION,Shamet Landry,5:44,4,76ers,Celtics,83 - 94,0,N/A,N/A,N/A
66,Ben Simmons,FT_MISS,None,5:44,4,76ers,Celtics,83 - 94,0,N/A,1,N/A
67,Gordon Hayward,DEFENSIVE_REBOUND,None,5:41,4,Celtics,76ers,83 - 94,1,N/A,N/A,N/A
68,Gordon Hayward,FG_MISS,Ben Simmons,5:21,4,76ers,Celtics,83 - 94,1,23,3,Jumper
69,shot clock,TURNOVER,None,5:20,4,Celtics,76ers,83 - 94,1,N/A,N/A,N/A
70,Team,OFFENSIVE_REBOUND,None,5:20,4,Celtics,76ers,83 - 94,1,N/A,N/A,N/A
71,Dario Saric,FG_MISS,None,5:08,4,76ers,Celtics,83 - 94,0,0,2,Layup
72,Jayson Tatum,DEFENSIVE_REBOUND,None,5:06,4,Celtics,76ers,83 - 94,1,N/A,N/A,N/A
73,Kyrie Irving,FG_MISS,None,4:49,4,Celtics,76ers,83 - 94,1,17,3,Jumper
74,Dario Saric,DEFENSIVE_REBOUND,None,4:47,4,76ers,Celtics,83 - 94,0,N/A,N/A,N/A
75,JJ Redick,FG_MISS,None,4:41,4,76ers,Celtics,83 - 94,0,26,3,Jumper
76,Gordon Hayward,DEFENSIVE_REBOUND,None,4:40,4,Celtics,76ers,83 - 94,1,N/A,N/A,N/A
77,Al Horford,FG_MISS,None,4:31,4,Celtics,76ers,83 - 94,1,24,3,Jumper
78,Joel Embiid,DEFENSIVE_REBOUND,None,4:28,4,76ers,Celtics,83 - 94,0,N/A,N/A,N/A
79,Kyrie Irving,FOUL_ON_FLOOR,None,4:28,4,Celtics,76ers,83 - 94,1,N/A,N/A,N/A
80,Joel Embiid,FT,None,4:28,4,76ers,Celtics,84 - 94,0,N/A,1,N/A
81,Terry Rozier,SUBSTITUTION,Irving Kyrie,4:28,4,Celtics,76ers,84 - 94,1,N/A,N/A,N/A
