,Player,Play Type,Secondary Player,Clock,Quarter,Team,Opponent,Score,Home?,Distance,Points,Shot Type
59,Kyle Kuzma,FG_MISS,None,4:57,2,Lakers,Pistons,34 - 40,1,20,3,Jumper
60,Reggie Jackson,DEFENSIVE_REBOUND,None,4:53,2,Pistons,Lakers,34 - 40,0,N/A,N/A,N/A
61,Andre Drummond,FG_MISS,None,4:44,2,Pistons,Lakers,34 - 40,0, ,3,Jumper
62,Josh Hart,DEFENSIVE_REBOUND,None,4:42,2,Lakers,Pistons,34 - 40,1,N/A,N/A,N/A
63,Brandon Ingram,FG_MISS,Andre Drummond,4:36,2,Pistons,Lakers,34 - 40,1,0,2,Layup
64,Andre Drummond,DEFENSIVE_REBOUND,None,4:36,2,Pistons,Lakers,34 - 40,0,N/A,N/A,N/A
65,Blake Griffin,FG_ASSISTED,Reggie Jackson,4:29,2,Pistons,Lakers,36 - 40,0,0,2,Dunk
66,Team,Unknown,None,4:27,2,Lakers,Pistons,36 - 40,1,N/A,N/A,N/A
67,JaVale McGee,SUBSTITUTION,Zubac Ivica,4:27,2,Lakers,Pistons,36 - 40,1,N/A,N/A,N/A
68,Bruce Brown,FOUL_ON_FLOOR,None,4:18,2,Pistons,Lakers,36 - 40,0,N/A,N/A,N/A
69,Brandon Ingram,FG_UNASSISTED,None,4:10,2,Lakers,Pistons,36 - 42,1, ,3,Jumper
70,Bruce Brown,FG_MISS,None,3:44,2,Pistons,Lakers,36 - 42,0,0,2,Layup
71,Andre Drummond,OFFENSIVE_REBOUND,None,3:44,2,Pistons,Lakers,36 - 42,0,N/A,N/A,N/A
72,Andre Drummond,TURNOVER,None,3:44,2,Pistons,Lakers,36 - 42,0,N/A,N/A,N/A
73,Lonzo Ball,FG_UNASSISTED,None,3:25,2,Lakers,Pistons,36 - 45,1,26,3,Jumper
74,Blake Griffin,TURNOVER,None,3:12,2,Pistons,Lakers,36 - 45,0,N/A,N/A,N/A
75,JaVale McGee,FG_MISS,None,3:06,2,Lakers,Pistons,36 - 45,1,0,2,Layup
76,JaVale McGee,OFFENSIVE_REBOUND,None,3:04,2,Lakers,Pistons,36 - 45,1,N/A,N/A,N/A
77,Lonzo Ball,FG_UNASSISTED,None,2:52,2,Lakers,Pistons,36 - 47,1,0,2,Layup
78,Team,Unknown,None,2:48,2,Pistons,Lakers,36 - 47,0,N/A,N/A,N/A
79,Stanley Johnson,SUBSTITUTION,Brown Bruce,2:48,2,Pistons,Lakers,36 - 47,0,N/A,N/A,N/A
80,Reggie Jackson,FG_MISS,None,2:41,2,Pistons,Lakers,36 - 47,0,26,3,Jumper
81,Josh Hart,DEFENSIVE_REBOUND,None,2:38,2,Lakers,Pistons,36 - 47,1,N/A,N/A,N/A
82,Kyle Kuzma,FG_ASSISTED,Lonzo Ball,2:30,2,Lakers,Pistons,36 - 49,1,16,3,Jumper
83,Blake Griffin,FG_UNASSISTED,None,2:14,2,Pistons,Lakers,38 - 49,0,0,2,Dunk
84,Brandon Ingram,FG_UNASSISTED,None,2:01,2,Lakers,Pistons,38 - 51,1,0,2,Layup
85,Stanley Johnson,FG_ASSISTED,Reggie Jackson,1:35,2,Pistons,Lakers,40 - 51,0,7,3,Jumper
86,Brandon Ingram,TURNOVER,Reggie Jackson,1:19,2,Lakers,Pistons,40 - 51,1,N/A,N/A,N/A
87,Reggie Jackson,FG_UNASSISTED,None,1:16,2,Pistons,Lakers,42 - 51,0,0,2,Dunk
