,Player,Play Type,Secondary Player,Clock,Quarter,Team,Opponent,Score,Home?,Distance,Points,Shot Type
103,Justin Holiday,FG_MISS,None,1:07,1,Bulls,Timberwolves,20 - 20,0, ,3,Jumper
104,Robin Lopez,OFFENSIVE_REBOUND,None,1:05,1,Bulls,Timberwolves,20 - 20,0,N/A,N/A,N/A
105,Antonio Blakeney,FG_MISS,None,1:02,1,Bulls,Timberwolves,20 - 20,0,10,3,Jumper
106,Gorgui Dieng,DEFENSIVE_REBOUND,None,59.7,1,Timberwolves,Bulls,20 - 20,1,N/A,N/A,N/A
107,Derrick Rose,FG_MISS,None,42.4,1,Timberwolves,Bulls,20 - 20,1,25,3,Jumper
108,Zach LaVine,DEFENSIVE_REBOUND,None,40.0,1,Bulls,Timberwolves,20 - 20,0,N/A,N/A,N/A
109,Zach LaVine,FG_UNASSISTED,None,34.4,1,Bulls,Timberwolves,22 - 20,0,0,2,Layup
110,Dario Saric,FG_MISS,None,13.8,1,Timberwolves,Bulls,22 - 20,1,17,3,Jumper
111,Justin Holiday,DEFENSIVE_REBOUND,None,10.3,1,Bulls,Timberwolves,22 - 20,0,N/A,N/A,N/A
112,Zach LaVine,FG_MISS,None,0.5,1,Bulls,Timberwolves,22 - 20,0, ,3,Jumper
113,Team,OFFENSIVE_REBOUND,None,0.5,1,Bulls,Timberwolves,22 - 20,0,N/A,N/A,N/A
114,End of,Unknown,None,0.0,1,Timberwolves,Bulls,22 - 20,1,N/A,N/A,N/A
0,Robert Covington,SUBSTITUTION,Wiggins Andrew,12:00,2,Timberwolves,Bulls,22 - 20,1,N/A,N/A,N/A
1,Jabari Parker,SUBSTITUTION,Holiday Justin,12:00,2,Bulls,Timberwolves,22 - 20,0,N/A,N/A,N/A
2,Cameron Payne,SUBSTITUTION,LaVine Zach,12:00,2,Bulls,Timberwolves,22 - 20,0,N/A,N/A,N/A
3,Gorgui Dieng,FG_ASSISTED,Derrick Rose,11:46,2,Timberwolves,Bulls,22 - 22,1,19,3,Jumper
4,Robin Lopez,FG_MISS,None,11:31,2,Bulls,Timberwolves,22 - 22,0,7,3,Jumper
5,Team,OFFENSIVE_REBOUND,None,11:30,2,Bulls,Timberwolves,22 - 22,0,N/A,N/A,N/A
6,Jabari Parker,FG_MISS,None,11:23,2,Bulls,Timberwolves,22 - 22,0,25,3,Jumper
7,Tyus Jones,DEFENSIVE_REBOUND,None,11:19,2,Timberwolves,Bulls,22 - 22,1,N/A,N/A,N/A
8,Robert Covington,FG_MISS,None,11:15,2,Timberwolves,Bulls,22 - 22,1,26,3,Jumper
9,Dario Saric,OFFENSIVE_REBOUND,None,11:14,2,Timberwolves,Bulls,22 - 22,1,N/A,N/A,N/A
10,Antonio Blakeney,FOUL_ON_FLOOR,None,11:14,2,Bulls,Timberwolves,22 - 22,0,N/A,N/A,N/A
11,Dario Saric,FT,None,11:14,2,Timberwolves,Bulls,22 - 23,1,N/A,1,N/A
12,Dario Saric,FT,None,11:14,2,Timberwolves,Bulls,22 - 24,1,N/A,1,N/A
13,Jabari Parker,TURNOVER,Dario Saric,10:52,2,Bulls,Timberwolves,22 - 24,0,N/A,N/A,N/A
14,Cameron Payne,FOUL_ON_FLOOR,None,10:46,2,Bulls,Timberwolves,22 - 24,0,N/A,N/A,N/A
15,Tyus Jones,FT,None,10:46,2,Timberwolves,Bulls,22 - 25,1,N/A,1,N/A
16,Tyus Jones,FT,None,10:46,2,Timberwolves,Bulls,22 - 26,1,N/A,1,N/A
17,Robert Covington,FOUL_ON_FLOOR,None,10:34,2,Timberwolves,Bulls,22 - 26,1,N/A,N/A,N/A
18,Cameron Payne,FG_MISS,None,10:26,2,Bulls,Timberwolves,22 - 26,0,25,3,Jumper
19,Derrick Rose,DEFENSIVE_REBOUND,None,10:23,2,Timberwolves,Bulls,22 - 26,1,N/A,N/A,N/A
