,Player,Play Type,Secondary Player,Clock,Quarter,Team,Opponent,Score,Home?,Distance,Points,Shot Type
91,Gorgui Dieng,DEFENSIVE_REBOUND,None,0.4,3,Timberwolves,Grizzlies,75 - 62,1,N/A,N/A,N/A
92,End of,Unknown,None,0.0,3,Timberwolves,Grizzlies,75 - 62,1,N/A,N/A,N/A
0,Robert Covington,SUBSTITUTION,Wiggins Andrew,12:00,4,Timberwolves,Grizzlies,75 - 62,1,N/A,N/A,N/A
1,Wayne Selden,SUBSTITUTION,Green JaMychal,12:00,4,Grizzlies,Timberwolves,75 - 62,0,N/A,N/A,N/A
2,Omri Casspi,SUBSTITUTION,Anderson Kyle,12:00,4,Grizzlies,Timberwolves,75 - 62,0,N/A,N/A,N/A
3,Derrick Rose,FG_MISS,None,11:47,4,Timberwolves,Grizzlies,75 - 62,1,24,3,Jumper
4,MarShon Brooks,DEFENSIVE_REBOUND,None,11:42,4,Grizzlies,Timberwolves,75 - 62,0,N/A,N/A,N/A
5,Jaren Jackson,FG_MISS,None,11:23,4,Grizzlies,Timberwolves,75 - 62,0,0,2,Layup
6,Jaren Jackson,OFFENSIVE_REBOUND,None,11:21,4,Grizzlies,Timberwolves,75 - 62,0,N/A,N/A,N/A
7,MarShon Brooks,FG_MISS,None,11:16,4,Grizzlies,Timberwolves,75 - 62,0,23,3,Jumper
8,Gorgui Dieng,DEFENSIVE_REBOUND,None,11:14,4,Timberwolves,Grizzlies,75 - 62,1,N/A,N/A,N/A
9,Tyus Jones,FG_MISS,None,11:06,4,Timberwolves,Grizzlies,75 - 62,1,26,3,Jumper
10,MarShon Brooks,DEFENSIVE_REBOUND,None,11:02,4,Grizzlies,Timberwolves,75 - 62,0,N/A,N/A,N/A
11,Wayne Selden,FG_MISS,None,10:51,4,Grizzlies,Timberwolves,75 - 62,0,18,3,Jumper
12,Gorgui Dieng,DEFENSIVE_REBOUND,None,10:48,4,Timberwolves,Grizzlies,75 - 62,1,N/A,N/A,N/A
13,Dario Saric,FG_MISS,None,10:40,4,Timberwolves,Grizzlies,75 - 62,1,13,3,Jumper
14,Tyus Jones,OFFENSIVE_REBOUND,None,10:37,4,Timberwolves,Grizzlies,75 - 62,1,N/A,N/A,N/A
15,Gorgui Dieng,FG_MISS,None,10:33,4,Timberwolves,Grizzlies,75 - 62,1, ,3,Jumper
16,MarShon Brooks,DEFENSIVE_REBOUND,None,10:28,4,Grizzlies,Timberwolves,75 - 62,0,N/A,N/A,N/A
17,Jaren Jackson,FG_ASSISTED,MarShon Brooks,10:12,4,Grizzlies,Timberwolves,77 - 62,0,0,2,Layup
18,Robert Covington,FG_ASSISTED,Derrick Rose,9:52,4,Timberwolves,Grizzlies,77 - 65,1,22,3,Jumper
19,Karl-Anthony Towns,SUBSTITUTION,Dieng Gorgui,9:36,4,Timberwolves,Grizzlies,77 - 65,1,N/A,N/A,N/A
20,MarShon Brooks,FG_MISS,None,9:30,4,Grizzlies,Timberwolves,77 - 65,0,25,3,Jumper
21,Derrick Rose,DEFENSIVE_REBOUND,None,9:28,4,Timberwolves,Grizzlies,77 - 65,1,N/A,N/A,N/A
22,Tyus Jones,FG_ASSISTED,Derrick Rose,9:17,4,Timberwolves,Grizzlies,77 - 67,1,8,3,Jumper
23,Dario Saric,FOUL_ON_FLOOR,None,8:58,4,Timberwolves,Grizzlies,77 - 67,1,N/A,N/A,N/A
24,Omri Casspi,FT_MISS,None,8:58,4,Grizzlies,Timberwolves,77 - 67,0,N/A,1,N/A
25,Team,OFFENSIVE_REBOUND,None,8:58,4,Grizzlies,Timberwolves,77 - 67,0,N/A,N/A,N/A
26,Marc Gasol,SUBSTITUTION,Brooks MarShon,8:58,4,Grizzlies,Timberwolves,77 - 67,0,N/A,N/A,N/A
27,Mike Conley,SUBSTITUTION,Jackson Jaren,8:58,4,Grizzlies,Timberwolves,77 - 67,0,N/A,N/A,N/A
28,Omri Casspi,FT,None,8:58,4,Grizzlies,Timberwolves,78 - 67,0,N/A,1,N/A
29,Derrick Rose,TURNOVER,Omri Casspi,8:36,4,Timberwolves,Grizzlies,78 - 67,1,N/A,N/A,N/A
30,Marc Gasol,TURNOVER,Dario Saric,8:18,4,Grizzlies,Timberwolves,78 - 67,0,N/A,N/A,N/A
31,Robert Covington,FG_MISS,None,8:15,4,Timberwolves,Grizzlies,78 - 67,1,26,3,Jumper
32,Team,DEFENSIVE_REBOUND,None,8:12,4,Grizzlies,Timberwolves,78 - 67,0,N/A,N/A,N/A
33,Wayne Selden,FG_MISS,None,7:52,4,Grizzlies,Timberwolves,78 - 67,0,24,3,Jumper
34,Tyus Jones,DEFENSIVE_REBOUND,None,7:50,4,Timberwolves,Grizzlies,78 - 67,1,N/A,N/A,N/A
35,Dario Saric,FG_ASSISTED,Tyus Jones,7:45,4,Timberwolves,Grizzlies,78 - 70,1,26,3,Jumper
36,Team,Unknown,None,7:43,4,Grizzlies,Timberwolves,78 - 70,0,N/A,N/A,N/A
37,JaMychal Green,SUBSTITUTION,Mack Shelvin,7:43,4,Grizzlies,Timberwolves,78 - 70,0,N/A,N/A,N/A
38,Kyle Anderson,SUBSTITUTION,Selden Wayne,7:43,4,Grizzlies,Timberwolves,78 - 70,0,N/A,N/A,N/A
39,Garrett Temple,SUBSTITUTION,Casspi Omri,7:43,4,Grizzlies,Timberwolves,78 - 70,0,N/A,N/A,N/A
40,Marc Gasol,FG_MISS,None,7:25,4,Grizzlies,Timberwolves,78 - 70,0,14,3,Jumper
41,Team,OFFENSIVE_REBOUND,None,7:23,4,Grizzlies,Timberwolves,78 - 70,0,N/A,N/A,N/A
42,Robert Covington,FOUL_ON_FLOOR,None,7:23,4,Timberwolves,Grizzlies,78 - 70,1,N/A,N/A,N/A
43,Marc Gasol,FG_ASSISTED,Mike Conley,7:10,4,Grizzlies,Timberwolves,81 - 70,0,25,3,Jumper
44,Derrick Rose,FG_UNASSISTED,None,6:51,4,Timberwolves,Grizzlies,81 - 72,1,19,3,Jumper
45,Robert Covington,FOUL_ON_FLOOR,None,6:35,4,Timberwolves,Grizzlies,81 - 72,1,N/A,N/A,N/A
46,Marc Gasol,FG_ASSISTED,Kyle Anderson,6:30,4,Grizzlies,Timberwolves,84 - 72,0,26,3,Jumper
47,Garrett Temple,FOUL_ON_FLOOR,None,6:12,4,Grizzlies,Timberwolves,84 - 72,0,N/A,N/A,N/A
48,Dario Saric,FG_ASSISTED,Tyus Jones,6:04,4,Timberwolves,Grizzlies,84 - 75,1,24,3,Jumper
49,Karl-Anthony Towns,FOUL_ON_FLOOR,None,5:47,4,Timberwolves,Grizzlies,84 - 75,1,N/A,N/A,N/A
50,JaMychal Green,FT,None,5:47,4,Grizzlies,Timberwolves,85 - 75,0,N/A,1,N/A
51,JaMychal Green,FT,None,5:47,4,Grizzlies,Timberwolves,86 - 75,0,N/A,1,N/A
52,Dario Saric,FG_ASSISTED,Tyus Jones,5:38,4,Timberwolves,Grizzlies,86 - 78,1,25,3,Jumper
53,Mike Conley,FG_MISS,None,5:18,4,Grizzlies,Timberwolves,86 - 78,0,25,3,Jumper
54,Tyus Jones,DEFENSIVE_REBOUND,None,5:16,4,Timberwolves,Grizzlies,86 - 78,1,N/A,N/A,N/A
55,Derrick Rose,FG_MISS,None,5:07,4,Timberwolves,Grizzlies,86 - 78,1,26,3,Jumper
56,Garrett Temple,DEFENSIVE_REBOUND,None,5:03,4,Grizzlies,Timberwolves,86 - 78,0,N/A,N/A,N/A
57,Marc Gasol,FG_ASSISTED,Mike Conley,4:42,4,Grizzlies,Timberwolves,89 - 78,0,25,3,Jumper
58,Dario Saric,TURNOVER,Garrett Temple,4:24,4,Timberwolves,Grizzlies,89 - 78,1,N/A,N/A,N/A
59,Andrew Wiggins,SUBSTITUTION,Jones Tyus,4:14,4,Timberwolves,Grizzlies,89 - 78,1,N/A,N/A,N/A
60,Shelvin Mack,SUBSTITUTION,Green JaMychal,4:14,4,Grizzlies,Timberwolves,89 - 78,0,N/A,N/A,N/A
61,Mike Conley,FG_MISS,None,4:07,4,Grizzlies,Timberwolves,89 - 78,0,0,2,Layup
62,Karl-Anthony Towns,DEFENSIVE_REBOUND,None,4:05,4,Timberwolves,Grizzlies,89 - 78,1,N/A,N/A,N/A
63,Karl-Anthony Towns,TURNOVER,None,3:59,4,Timberwolves,Grizzlies,89 - 78,1,N/A,N/A,N/A
64,Karl-Anthony Towns,TURNOVER,None,3:59,4,Timberwolves,Grizzlies,89 - 78,1,N/A,N/A,N/A
65,Garrett Temple,FG_MISS,None,3:35,4,Grizzlies,Timberwolves,89 - 78,0,0,2,Layup
66,Garrett Temple,OFFENSIVE_REBOUND,None,3:29,4,Grizzlies,Timberwolves,89 - 78,0,N/A,N/A,N/A
67,Garrett Temple,FG_MISS,None,3:29,4,Grizzlies,Timberwolves,89 - 78,0, ,3,Jumper
68,Karl-Anthony Towns,DEFENSIVE_REBOUND,None,3:28,4,Timberwolves,Grizzlies,89 - 78,1,N/A,N/A,N/A
69,Andrew Wiggins,FG_MISS,None,3:22,4,Timberwolves,Grizzlies,89 - 78,1,19,3,Jumper
70,Kyle Anderson,DEFENSIVE_REBOUND,None,3:17,4,Grizzlies,Timberwolves,89 - 78,0,N/A,N/A,N/A
71,Karl-Anthony Towns,FOUL_ON_FLOOR,None,3:10,4,Timberwolves,Grizzlies,89 - 78,1,N/A,N/A,N/A
72,Marc Gasol,FT,None,3:10,4,Grizzlies,Timberwolves,90 - 78,0,N/A,1,N/A
73,Marc Gasol,FT,None,3:10,4,Grizzlies,Timberwolves,91 - 78,0,N/A,1,N/A
74,Derrick Rose,FG_MISS,None,3:01,4,Timberwolves,Grizzlies,91 - 78,1, ,3,Jumper
75,Marc Gasol,DEFENSIVE_REBOUND,None,2:58,4,Grizzlies,Timberwolves,91 - 78,0,N/A,N/A,N/A
76,Marc Gasol,FG_MISS,None,2:42,4,Grizzlies,Timberwolves,91 - 78,0,26,3,Jumper
77,Andrew Wiggins,DEFENSIVE_REBOUND,None,2:39,4,Timberwolves,Grizzlies,91 - 78,1,N/A,N/A,N/A
78,Robert Covington,FG_ASSISTED,Andrew Wiggins,2:33,4,Timberwolves,Grizzlies,91 - 81,1,25,3,Jumper
79,Shelvin Mack,FG_ASSISTED,Marc Gasol,2:08,4,Grizzlies,Timberwolves,93 - 81,0,17,3,Jumper
80,Marc Gasol,FOUL_ON_FLOOR,None,1:54,4,Grizzlies,Timberwolves,93 - 81,0,N/A,N/A,N/A
81,Team,Unknown,None,1:54,4,Timberwolves,Grizzlies,93 - 81,1,N/A,N/A,N/A
82,Andrew Wiggins,FG_MISS,None,1:51,4,Timberwolves,Grizzlies,93 - 81,1,28,3,Jumper
83,Team,OFFENSIVE_REBOUND,None,1:49,4,Timberwolves,Grizzlies,93 - 81,1,N/A,N/A,N/A
84,Kyle Anderson,FOUL_ON_FLOOR,None,1:49,4,Grizzlies,Timberwolves,93 - 81,0,N/A,N/A,N/A
85,Dario Saric,FT,None,1:49,4,Timberwolves,Grizzlies,93 - 82,1,N/A,1,N/A
86,Dario Saric,FT,None,1:49,4,Timberwolves,Grizzlies,93 - 83,1,N/A,1,N/A
87,Garrett Temple,FG_UNASSISTED,None,1:24,4,Grizzlies,Timberwolves,96 - 83,0,28,3,Jumper
88,Dario Saric,TURNOVER,Marc Gasol,1:14,4,Timberwolves,Grizzlies,96 - 83,1,N/A,N/A,N/A
89,Dario Saric,FOUL_ON_FLOOR,None,1:14,4,Timberwolves,Grizzlies,96 - 83,1,N/A,N/A,N/A
90,Marc Gasol,FT_MISS,None,1:14,4,Grizzlies,Timberwolves,96 - 83,0,N/A,1,N/A
91,Team,OFFENSIVE_REBOUND,None,1:14,4,Grizzlies,Timberwolves,96 - 83,0,N/A,N/A,N/A
92,Marc Gasol,FT_MISS,None,1:14,4,Grizzlies,Timberwolves,96 - 83,0,N/A,1,N/A
93,Karl-Anthony Towns,DEFENSIVE_REBOUND,None,1:12,4,Timberwolves,Grizzlies,96 - 83,1,N/A,N/A,N/A
94,Robert Covington,FG_MISS,None,57.2,4,Timberwolves,Grizzlies,96 - 83,1,0,2,Layup
95,Karl-Anthony Towns,OFFENSIVE_REBOUND,None,56.8,4,Timberwolves,Grizzlies,96 - 83,1,N/A,N/A,N/A
96,Karl-Anthony Towns,FG_UNASSISTED,None,56.3,4,Timberwolves,Grizzlies,96 - 85,1, ,3,Jumper
97,Andrew Wiggins,FOUL_ON_FLOOR,None,50.3,4,Timberwolves,Grizzlies,96 - 85,1,N/A,N/A,N/A
98,Mike Conley,FT,None,50.3,4,Grizzlies,Timberwolves,97 - 85,0,N/A,1,N/A
99,Mike Conley,FT,None,50.3,4,Grizzlies,Timberwolves,98 - 85,0,N/A,1,N/A
100,Andrew Wiggins,FG_MISS,None,43.6,4,Timberwolves,Grizzlies,98 - 85,1,13,3,Jumper
101,Mike Conley,DEFENSIVE_REBOUND,None,39.6,4,Grizzlies,Timberwolves,98 - 85,0,N/A,N/A,N/A
102,Garrett Temple,FG_ASSISTED,Mike Conley,34.0,4,Grizzlies,Timberwolves,100 - 85,0,0,2,Layup
103,Karl-Anthony Towns,FG_ASSISTED,Dario Saric,22.5,4,Timberwolves,Grizzlies,100 - 87,1,0,2,Dunk
104,End of,Unknown,None,0.0,4,Timberwolves,Grizzlies,100 - 87,1,N/A,N/A,N/A
105,End of,Unknown,None,0.0,4,Timberwolves,Grizzlies,100 - 87,1,N/A,N/A,N/A
