,Player,Play Type,Secondary Player,Clock,Quarter,Team,Opponent,Score,Home?,Distance,Points,Shot Type
75,Marvin Williams,FG_ASSISTED,Miles Bridges,2:12,4,Hornets,Knicks,87 - 101,1,27,3,Jumper
76,Tim Hardaway,FG_MISS,None,1:50,4,Knicks,Hornets,87 - 101,0,0,2,Layup
77,Team,OFFENSIVE_REBOUND,None,1:50,4,Knicks,Hornets,87 - 101,0,N/A,N/A,N/A
78,Tim Hardaway,FG_ASSISTED,Trey Burke,1:40,4,Knicks,Hornets,90 - 101,0,26,3,Jumper
79,Malik Monk,FG_MISS,None,1:22,4,Hornets,Knicks,90 - 101,1,21,2,Jumper
80,Noah Vonleh,DEFENSIVE_REBOUND,None,1:19,4,Knicks,Hornets,90 - 101,0,N/A,N/A,N/A
81,Tim Hardaway,TURNOVER,None,1:15,4,Knicks,Hornets,90 - 101,0,N/A,N/A,N/A
82,Malik Monk,TURNOVER,None,55.0,4,Hornets,Knicks,90 - 101,1,N/A,N/A,N/A
83,Malik Monk,TURNOVER,None,55.0,4,Hornets,Knicks,90 - 101,1,N/A,N/A,N/A
84,Trey Burke,FG_UNASSISTED,None,46.2,4,Knicks,Hornets,92 - 101,0,0,2,Layup
85,Marvin Williams,FG_MISS,None,23.5,4,Hornets,Knicks,92 - 101,1,25,3,Jumper
86,Tim Hardaway,DEFENSIVE_REBOUND,None,21.2,4,Knicks,Hornets,92 - 101,0,N/A,N/A,N/A
87,Kevin Knox,FG_MISS,None,16.7,4,Knicks,Hornets,92 - 101,0,0,2,Layup
88,Marvin Williams,DEFENSIVE_REBOUND,None,14.5,4,Hornets,Knicks,92 - 101,1,N/A,N/A,N/A
89,End of,Unknown,None,0.0,4,Hornets,Knicks,92 - 101,1,N/A,N/A,N/A
90,End of,Unknown,None,0.0,4,Hornets,Knicks,92 - 101,1,N/A,N/A,N/A
