,Player,Play Type,Secondary Player,Clock,Quarter,Team,Opponent,Score,Home?,Distance,Points,Shot Type
40,Eric Gordon,TURNOVER,None,6:49,4,Rockets,Thunder,99 - 93,0,N/A,N/A,N/A
41,Team,Unknown,None,6:49,4,Thunder,Rockets,99 - 93,1,N/A,N/A,N/A
42,Steven Adams,FG_ASSISTED,Russell Westbrook,6:42,4,Thunder,Rockets,99 - 95,1,0,2,Dunk
43,Eric Gordon,FG_MISS,None,6:23,4,Rockets,Thunder,99 - 95,0,28,3,Jumper
44,Paul George,DEFENSIVE_REBOUND,None,6:20,4,Thunder,Rockets,99 - 95,1,N/A,N/A,N/A
45,Paul George,FG_UNASSISTED,None,6:15,4,Thunder,Rockets,99 - 97,1,21,3,Jumper
46,Clint Capela,TURNOVER,Paul George,5:53,4,Rockets,Thunder,99 - 97,0,N/A,N/A,N/A
47,Paul George,FG_MISS,None,5:48,4,Thunder,Rockets,99 - 97,1, ,3,Jumper
48,Austin Rivers,DEFENSIVE_REBOUND,None,5:44,4,Rockets,Thunder,99 - 97,0,N/A,N/A,N/A
49,James Harden,FG_MISS,None,5:36,4,Rockets,Thunder,99 - 97,0, ,3,Jumper
50,Dennis Schroder,DEFENSIVE_REBOUND,None,5:34,4,Thunder,Rockets,99 - 97,1,N/A,N/A,N/A
51,Russell Westbrook,FG_ASSISTED,Dennis Schroder,5:29,4,Thunder,Rockets,99 - 100,1,23,3,Jumper
52,Team,Unknown,None,5:15,4,Rockets,Thunder,99 - 100,0,N/A,N/A,N/A
53,Chris Paul,SUBSTITUTION,Gordon Eric,5:15,4,Rockets,Thunder,99 - 100,0,N/A,N/A,N/A
54,Chris Paul,FG_MISS,None,5:01,4,Rockets,Thunder,99 - 100,0,15,3,Jumper
55,Russell Westbrook,DEFENSIVE_REBOUND,None,4:58,4,Thunder,Rockets,99 - 100,1,N/A,N/A,N/A
56,Jerami Grant,FG_MISS,None,4:47,4,Thunder,Rockets,99 - 100,1,23,3,Jumper
57,James Harden,DEFENSIVE_REBOUND,None,4:43,4,Rockets,Thunder,99 - 100,0,N/A,N/A,N/A
58,Jerami Grant,FOUL_ON_FLOOR,None,4:35,4,Thunder,Rockets,99 - 100,1,N/A,N/A,N/A
59,Clint Capela,FT,None,4:35,4,Rockets,Thunder,100 - 100,0,N/A,1,N/A
60,Clint Capela,FT_MISS,None,4:35,4,Rockets,Thunder,100 - 100,0,N/A,1,N/A
61,Russell Westbrook,DEFENSIVE_REBOUND,None,4:34,4,Thunder,Rockets,100 - 100,1,N/A,N/A,N/A
62,Steven Adams,FG_MISS,None,4:22,4,Thunder,Rockets,100 - 100,1,3,3,Jumper
63,Jerami Grant,OFFENSIVE_REBOUND,None,4:21,4,Thunder,Rockets,100 - 100,1,N/A,N/A,N/A
64,Jerami Grant,FG_UNASSISTED,None,4:20,4,Thunder,Rockets,100 - 102,1,1,3,Jumper
65,Clint Capela,FG_ASSISTED,James Harden,3:59,4,Rockets,Thunder,102 - 102,0,0,2,Dunk
66,Paul George,FG_MISS,None,3:51,4,Thunder,Rockets,102 - 102,1,23,3,Jumper
67,Chris Paul,DEFENSIVE_REBOUND,None,3:46,4,Rockets,Thunder,102 - 102,0,N/A,N/A,N/A
68,Chris Paul,FG_UNASSISTED,None,3:42,4,Rockets,Thunder,104 - 102,0,1,3,Jumper
69,Paul George's,FG_MISS,PJ Tucker,3:25,4,Rockets,Thunder,104 - 102,1,0,2,Layup
70,Team,DEFENSIVE_REBOUND,None,3:25,4,Rockets,Thunder,104 - 102,0,N/A,N/A,N/A
71,Paul George,FOUL_ON_FLOOR,None,3:25,4,Thunder,Rockets,104 - 102,1,N/A,N/A,N/A
72,James Harden,FG_MISS,None,3:05,4,Rockets,Thunder,104 - 102,0,1,3,Jumper
73,PJ Tucker,OFFENSIVE_REBOUND,None,3:01,4,Rockets,Thunder,104 - 102,0,N/A,N/A,N/A
74,PJ Tucker,FG_UNASSISTED,None,3:01,4,Rockets,Thunder,106 - 102,0,1,3,Jumper
75,Jerami Grant,FG_MISS,None,2:41,4,Thunder,Rockets,106 - 102,1,23,3,Jumper
76,Team,OFFENSIVE_REBOUND,None,2:38,4,Thunder,Rockets,106 - 102,1,N/A,N/A,N/A
77,Eric Gordon,SUBSTITUTION,Rivers Austin,2:38,4,Rockets,Thunder,106 - 102,0,N/A,N/A,N/A
78,Paul George,FG_MISS,None,2:37,4,Thunder,Rockets,106 - 102,1,23,3,Jumper
79,Chris Paul,DEFENSIVE_REBOUND,None,2:34,4,Rockets,Thunder,106 - 102,0,N/A,N/A,N/A
80,PJ Tucker,TURNOVER,Paul George,2:23,4,Rockets,Thunder,106 - 102,0,N/A,N/A,N/A
81,James Harden,FOUL_ON_FLOOR,None,2:23,4,Rockets,Thunder,106 - 102,0,N/A,N/A,N/A
82,Russell Westbrook,FG_MISS,None,2:18,4,Thunder,Rockets,106 - 102,1,27,3,Jumper
83,Team,DEFENSIVE_REBOUND,None,2:15,4,Rockets,Thunder,106 - 102,0,N/A,N/A,N/A
84,James Harden,FG_MISS,None,1:54,4,Rockets,Thunder,106 - 102,0,1,3,Jumper
85,Team,DEFENSIVE_REBOUND,None,1:51,4,Thunder,Rockets,106 - 102,1,N/A,N/A,N/A
86,PJ Tucker,FOUL_ON_FLOOR,None,1:51,4,Rockets,Thunder,106 - 102,0,N/A,N/A,N/A
87,Russell Westbrook,FG_UNASSISTED,None,1:37,4,Thunder,Rockets,106 - 104,1,0,2,Layup
88,Dennis Schroder,FOUL_ON_FLOOR,None,1:17,4,Thunder,Rockets,106 - 104,1,N/A,N/A,N/A
89,Terrance Ferguson,SUBSTITUTION,Schroder Dennis,1:17,4,Thunder,Rockets,106 - 104,1,N/A,N/A,N/A
90,Terrance Ferguson,FOUL_ON_FLOOR,None,1:03,4,Thunder,Rockets,106 - 104,1,N/A,N/A,N/A
91,James Harden,FT,None,1:03,4,Rockets,Thunder,107 - 104,0,N/A,1,N/A
92,Dennis Schroder,SUBSTITUTION,Ferguson Terrance,1:03,4,Thunder,Rockets,107 - 104,1,N/A,N/A,N/A
93,James Harden,FT,None,1:03,4,Rockets,Thunder,108 - 104,0,N/A,1,N/A
94,Russell Westbrook,TURNOVER,Chris Paul,45.4,4,Thunder,Rockets,108 - 104,1,N/A,N/A,N/A
95,Chris Paul,FG_MISS,None,27.6,4,Rockets,Thunder,108 - 104,0,28,3,Jumper
96,Russell Westbrook,DEFENSIVE_REBOUND,None,24.9,4,Thunder,Rockets,108 - 104,1,N/A,N/A,N/A
97,Russell Westbrook,FG_UNASSISTED,None,20.9,4,Thunder,Rockets,108 - 107,1,27,3,Jumper
98,Paul George,FOUL_ON_FLOOR,None,15.5,4,Thunder,Rockets,108 - 107,1,N/A,N/A,N/A
99,James Harden,FT,None,15.5,4,Rockets,Thunder,109 - 107,0,N/A,1,N/A
100,James Harden,FT,None,15.5,4,Rockets,Thunder,110 - 107,0,N/A,1,N/A
101,Team,Unknown,None,15.5,4,Thunder,Rockets,110 - 107,1,N/A,N/A,N/A
102,Terrance Ferguson,SUBSTITUTION,Schroder Dennis,15.5,4,Thunder,Rockets,110 - 107,1,N/A,N/A,N/A
103,Team,Unknown,None,12.9,4,Thunder,Rockets,110 - 107,1,N/A,N/A,N/A
104,Russell Westbrook,FG_UNASSISTED,None,9.7,4,Thunder,Rockets,110 - 109,1,0,2,Dunk
105,Russell Westbrook,FOUL_ON_FLOOR,None,9.4,4,Thunder,Rockets,110 - 109,1,N/A,N/A,N/A
106,James Harden,FT,None,9.4,4,Rockets,Thunder,111 - 109,0,N/A,1,N/A
107,James Harden,FT_MISS,None,9.4,4,Rockets,Thunder,111 - 109,0,N/A,1,N/A
108,Russell Westbrook,DEFENSIVE_REBOUND,None,9.4,4,Thunder,Rockets,111 - 109,1,N/A,N/A,N/A
109,Paul George,FG_ASSISTED,Russell Westbrook,1.8,4,Thunder,Rockets,111 - 112,1,1,3,Jumper
110,Team,Unknown,None,1.8,4,Rockets,Thunder,111 - 112,0,N/A,N/A,N/A
111,Gerald Green,SUBSTITUTION,Capela Clint,1.8,4,Rockets,Thunder,111 - 112,0,N/A,N/A,N/A
112,Team,Unknown,None,1.8,4,Rockets,Thunder,111 - 112,0,N/A,N/A,N/A
113,James Harden,FG_MISS,None,0.0,4,Rockets,Thunder,111 - 112,0,25,3,Jumper
114,Team,OFFENSIVE_REBOUND,None,0.0,4,Rockets,Thunder,111 - 112,0,N/A,N/A,N/A
115,End of,Unknown,None,0.0,4,Thunder,Rockets,111 - 112,1,N/A,N/A,N/A
116,End of,Unknown,None,0.0,4,Thunder,Rockets,111 - 112,1,N/A,N/A,N/A
